id	va	changed_accesses	native_graph	retail_full	retail_summary
src/SOURCE/ARMY.cpp:army::SpecialAttack(void)#1	0x0041a1d9	2	PASS	False	?SpecialAttack@army@@QAEXXZ bytes True size 5727 5727 DIR32 sites False ordered target errors [('0x6', '$L62990', '0x0', '0xe822e', None), ('0xc', '__except_list', '0x0', '0xffc00000', None), ('0x14', '__except_list', '0x0', '0xffc00000', None), ('0x45a', '__real@8@4006b400000000000000', '0x0', '0xea4f0', None), ('0x460', '__real@8@4000c90fcf80dc337000', '0x0', '0xea4e8', None), ('0x4c3', '__real@4@40008000000000000000', '0x0', '0xea4e4', None), ('0x518', '__real@4@4003c800000000000000', '0x0', '0xea4e0', None), ('0x544', '__real@4@c003c800000000000000', '0x0', '0xea4dc', None), ('0x8f5', '__real@4@4005e600000000000000', '0x0', '0xea4d8', None), ('0x1656', '__except_list', '0x0', '0xffc00000', None)]
src/SOURCE/ARMY.cpp:army::DoHydraAttack(i32)#1	0x0041b858	1	PASS	True	?DoHydraAttack@army@@QAEXH@Z bytes True size 1411 1411 DIR32 sites True ordered target errors []
src/SOURCE/ARMY.cpp:army::DoAttack(i32 retaliation)#1	0x0041bddb	10	PASS	False	?DoAttack@army@@QAEXH@Z bytes True size 5189 5189 DIR32 sites True ordered target errors [('0xfd6', '__real@4@40069600000000000000', '0x0', '0xea4f8', None), ('0x11f6', '__real@4@4005c800000000000000', '0x0', '0xea4c8', None)]
src/SOURCE/ARMY.cpp:army::WalkTo(i32 destination)#1	0x0041d245	1	PASS	True	?WalkTo@army@@QAEHH@Z bytes True size 682 682 DIR32 sites True ordered target errors []
src/SOURCE/ARMY.cpp:army::AttackTo(i32 destination)#1	0x0041d509	2	PASS	True	?AttackTo@army@@QAEHH@Z bytes True size 456 456 DIR32 sites True ordered target errors []
src/SOURCE/ARMY.cpp:army::DamageEnemy(army * target,i32 * damageResult,i32 * killedResult,i32 rangedAttack,i32 defenseModifier)#1	0x0041d8ee	4	PASS	False	?DamageEnemy@army@@QAEXPAV1@PAH1HH@Z bytes True size 1092 1092 DIR32 sites True ordered target errors [('0x270', '__real@4@40008000000000000000', '0x0', '0xea4e4', None), ('0x2b6', '__real@4@40008000000000000000', '0x0', '0xea4e4', None), ('0x32c', '__real@4@40008000000000000000', '0x0', '0xea4e4', None), ('0x34d', '__real@4@40008000000000000000', '0x0', '0xea4e4', None), ('0x365', '__real@4@40008000000000000000', '0x0', '0xea4e4', None), ('0x38d', '__real@4@40008000000000000000', '0x0', '0xea4e4', None), ('0x399', '__real@8@3ffe8000000000000000', '0x0', '0xea500', None)]
src/SOURCE/ARMY.cpp:army::Damage(i32l damage,SpellType spell)#1	0x0041dd32	1	PASS	True	?Damage@army@@QAEHJH@Z bytes True size 540 540 DIR32 sites True ordered target errors []
src/SOURCE/ARMY.cpp:army::LeaveNoBody(void)#1	0x0041f149	1	PASS	True	?LeaveNoBody@army@@QAEHXZ bytes True size 87 87 DIR32 sites True ordered target errors []
src/SOURCE/ARMY.cpp:army::ProcessDeath(i32 immediate)#1	0x0041f1a0	2	PASS	True	?ProcessDeath@army@@QAEXH@Z bytes True size 863 863 DIR32 sites True ordered target errors []
src/SOURCE/ARMY.cpp:army::GoBerserk(void)#1	0x0041fd25	3	PASS	True	?GoBerserk@army@@QAEXXZ bytes True size 1299 1299 DIR32 sites True ordered target errors []
src/SOURCE/ARMY.cpp:army::MoveAttack(i32 destination,i32 moveOnly)#1	0x00420238	5	PASS	True	?MoveAttack@army@@QAEXHH@Z bytes True size 861 861 DIR32 sites True ordered target errors []
