# homm2 retained match maxima by normalized function source hash.
# Observational only; never an enforcement baseline.
# Updated by `homm2 status update` and `homm2 build`; do not hand-edit.
# unit<TAB>fn<TAB>max_fuzzy<TAB>src_hash
BASE/Bzip	?bsGetBit@@YIHPAUBitStream@@@Z	100.0000	560e82c5537f
BASE/Bzip	?bsGetUChar@@YIEPAUBitStream@@@Z	100.0000	b980b2cb843d
BASE/Bzip	?bsOpenReadStream@@YIPAUBitStream@@PAU_iobuf@@@Z	100.0000	e002e650c942
BASE/Bzip	?bsOpenWriteStream@@YIPAUBitStream@@PAU_iobuf@@@Z	100.0000	0ede3ff8d637
BASE/Bzip	?bsPutBit@@YIXPAUBitStream@@H@Z	100.0000	6cd7bc6e66ed
BASE/Bzip	?bsPutUChar@@YIXPAUBitStream@@E@Z	100.0000	40609e17093d
BASE/Bzip	?cleanUpAndFail@@YIXXZ	100.0000	ce8bb593e0d0
BASE/Bzip	?compress@@YIXPAD@Z	99.9178	c558f78c0576
BASE/Bzip	?compressOutOfMemory@@YIXHH@Z	100.0000	1001ae3fce9b
BASE/Bzip	?compressStream@@YIXPAU_iobuf@@0@Z	99.8187	1ddd4f25b4e5
BASE/Bzip	?compressedStreamEOF@@YIXXZ	100.0000	18a8b4bfc8a5
BASE/Bzip	?copyOffsetWords@@YIXXZ	95.2000	9119bc7e62fe
BASE/Bzip	?crcError@@YIXII@Z	100.0000	56f8b7e09d7b
BASE/Bzip	?doReversibleTransformation@@YIXXZ	95.5000	e6c447c21806
BASE/Bzip	?dumpAllModelStats@@YIXXZ	100.0000	2a9ca6564f8d
BASE/Bzip	?dumpModelStats@@YIXPAUModel@@@Z	100.0000	a6d3d250baf0
BASE/Bzip	?endsInBz@@YIHPAD@Z	100.0000	eeebf0a9b99a
BASE/Bzip	?fullGt@@YIHHH@Z	100.0000	4e55e8665f0e
BASE/Bzip	?getAndMoveToFrontDecode@@YIHPAUBitStream@@@Z	100.0000	2e07244bbd96
BASE/Bzip	?getFinalCRC@@YIIXZ	100.0000	b1fe6fb1a642
BASE/Bzip	?getGlobalCRC@@YIIXZ	100.0000	3521cc1ba311
BASE/Bzip	?getInt32@@YIHPAUBitStream@@@Z	100.0000	3b234268827a
BASE/Bzip	?getMTFVal@@YIHPAUBitStream@@@Z	100.0000	66a5048a9d30
BASE/Bzip	?getRLEpair@@YIHPAU_iobuf@@@Z	100.0000	703b86956c61
BASE/Bzip	?getSymbol@@YIHPAUModel@@PAUBitStream@@@Z	100.0000	ba2388974dad
BASE/Bzip	?getUChar@@YIEPAUBitStream@@@Z	100.0000	5b3ac596e018
BASE/Bzip	?getUInt32@@YIIPAUBitStream@@@Z	100.0000	ce28c837576a
BASE/Bzip	?initBogusModel@@YIXXZ	100.0000	ed27c700ab94
BASE/Bzip	?initModel@@YIXPAUModel@@PADHHH@Z	100.0000	0ac0abc32fe2
BASE/Bzip	?initModels@@YIXXZ	100.0000	97dd11d56f8a
