# SEH unwind funclets (destructor-call handlers of EH-compiled
# TUs). Names are the analysis placeholders until each funclet
# is attributed to its parent function. Generated by
# `homm2 audit unmatched-census --write-config`.
entry_rva,size,name
0xe89bd,14,Unwind@004e89bd
0xe89cb,14,Unwind@004e89cb
0xe89d9,14,Unwind@004e89d9
0xe89e7,14,Unwind@004e89e7
0xe89f5,14,Unwind@004e89f5
0xe8a03,14,Unwind@004e8a03
0xe8a11,14,Unwind@004e8a11
0xe8a1f,14,Unwind@004e8a1f
0xe8a2d,14,Unwind@004e8a2d
0xe8a45,11,Unwind@004e8a45
0xe8a5a,11,Unwind@004e8a5a
0xe8a65,11,Unwind@004e8a65
0xe8a7a,11,Unwind@004e8a7a
0xe8a90,11,Unwind@004e8a90
0xe8ab0,11,Unwind@004e8ab0
0xe8ac5,11,Unwind@004e8ac5
0xe8ae0,11,Unwind@004e8ae0
0xe8aeb,11,Unwind@004e8aeb
0xe8b00,11,Unwind@004e8b00
0xe8b15,11,Unwind@004e8b15
0xe8b2a,11,Unwind@004e8b2a
0xe8b3f,11,Unwind@004e8b3f
0xe8b54,14,Unwind@004e8b54
0xe8b6c,11,Unwind@004e8b6c
0xe8b77,11,Unwind@004e8b77
0xe8b82,11,Unwind@004e8b82
0xe8b8d,11,Unwind@004e8b8d
0xe8ba2,11,Unwind@004e8ba2
0xe8bb7,11,Unwind@004e8bb7
0xe8bc2,11,Unwind@004e8bc2
0xe8bcd,11,Unwind@004e8bcd
0xe8be2,11,Unwind@004e8be2
0xe8bed,11,Unwind@004e8bed
0xe8c10,14,Unwind@004e8c10
0xe8c28,11,Unwind@004e8c28
0xe8c40,11,Unwind@004e8c40
0xe8c4b,11,Unwind@004e8c4b
0xe8c56,11,Unwind@004e8c56
0xe8c6b,11,Unwind@004e8c6b
0xe8c80,11,Unwind@004e8c80
0xe8c95,11,Unwind@004e8c95
0xe8cb0,11,Unwind@004e8cb0
0xe8cc5,11,Unwind@004e8cc5
0xe8cda,11,Unwind@004e8cda
