domain	owner	storage	start	size	kind	identity	provenance
text	-	text	0xc078b	0x5	padding	-	retail-padding-bytes
text	SOURCE/AI	text	0xc0790	0x8d7	function	?AICheckRetreat@combatManager@@QAEHXZ	retained-or-recovered-procedure
text	SOURCE/AI	text	0xc1067	0x129c	function	?DoCompAI@combatManager@@QAEXH@Z	retained-or-recovered-procedure
text	SOURCE/AI	text	0xc2303	0xc9	function	?GetModLichDamage@combatManager@@QAEMPAVarmy@@M@Z	retained-or-recovered-procedure
text	SOURCE/AI	text	0xc23cc	0x32e	function	?DoLichShot@combatManager@@QAEXPAVarmy@@@Z	retained-or-recovered-procedure
text	SOURCE/AI	text	0xc26fa	0x131	function	?GetShooterMask@combatManager@@QAEHH@Z	retained-or-recovered-procedure
text	SOURCE/AI	text	0xc282b	0xc0	function	?GetMirrorImageMask@combatManager@@QAEHH@Z	retained-or-recovered-procedure
text	SOURCE/AI	text	0xc28eb	0x11f	function	?GetFlyerMask@combatManager@@QAEHH@Z	retained-or-recovered-procedure
text	SOURCE/AI	text	0xc2a0a	0xc0	function	?GetAllMask@combatManager@@QAEHH@Z	retained-or-recovered-procedure
text	SOURCE/AI	text	0xc2aca	0x141	function	?GetWalkerMask@combatManager@@QAEHH@Z	retained-or-recovered-procedure
text	SOURCE/AI	text	0xc2c0b	0xe9	function	?GetOutOfItMask@combatManager@@QAEHH@Z	retained-or-recovered-procedure
text	SOURCE/AI	text	0xc2cf4	0xd6	function	?GetTraitorMask@combatManager@@QAEHH@Z	retained-or-recovered-procedure
text	SOURCE/AI	text	0xc2dca	0x1f1	function	?GetBestArmy@combatManager@@QAEHHH@Z	retained-or-recovered-procedure
text	SOURCE/AI	text	0xc2fbb	0xc2	function	?GetWorstArmy@combatManager@@QAEHHH@Z	retained-or-recovered-procedure
text	SOURCE/AI	text	0xc307d	0x16f	function	?GetClosestArmy@combatManager@@QAEHPAVarmy@@HH@Z	retained-or-recovered-procedure
text	SOURCE/AI	text	0xc31ec	0xc1	function	?GetStrength@combatManager@@QAEKHH@Z	retained-or-recovered-procedure
text	SOURCE/AI	text	0xc32ad	0x1bb	function	?AttemptAttack@combatManager@@QAEHPAVarmy@@HH@Z	retained-or-recovered-procedure
