domain	owner	storage	start	size	kind	identity	provenance
file	PE	file	0x0	0x400	headers	DOS+PE+section-table	retail-pe-headers
file	PE	.text	0x400	0xe9e00	section-text	.text	retail-pe-section-table
file	PE	.rdata	0xea200	0xe00	section-rdata	.rdata	retail-pe-section-table
file	PE	.data	0xeb000	0x37000	section-data	.data	retail-pe-section-table
file	PE	.idata	0x122000	0x1800	imports	.idata	retail-pe-section-table
file	PE	.rsrc	0x123800	0x2600	resources	.rsrc	retail-pe-section-table
file	PE	.reloc	0x125e00	0xee00	base-relocations	.reloc	retail-pe-section-table
file	LINK	overlay	0x134c00	0x110	misc	misc	retail-pe-debug-directory
file	LINK	overlay	0x134d10	0x2190	fpo	fpo	retail-pe-debug-directory
file	LINK	overlay	0x136ea0	0x4028c	codeview-nb09	codeview-nb09	retail-pe-debug-directory
loaded	PE	headers	0x0	0x400	headers	DOS+PE+section-table	retail-pe-headers
loaded	LINK	alignment	0x400	0xc00	virtual-padding	-	retail-section-alignment
loaded	PE	.text	0x1000	0xe9dd6	executable	.text	retail-pe-section-table
loaded	LINK	.text	0xeadd6	0x22a	virtual-padding	.text	retail-section-alignment
loaded	PE	.rdata	0xeb000	0xc9d	read-only-data	.rdata	retail-pe-section-table
loaded	LINK	.rdata	0xebc9d	0x363	virtual-padding	.rdata	retail-section-alignment
loaded	PE	.data	0xec000	0x37000	writable-data	.data initialized	retail-pe-section-table
loaded	PE	.bss	0x123000	0x164b0	loader-zero	.data virtual tail	retail-pe-section-table
loaded	LINK	.data	0x1394b0	0xb50	virtual-padding	.data	retail-section-alignment
loaded	PE	.idata	0x13a000	0x170c	imports	.idata	retail-pe-section-table
loaded	LINK	.idata	0x13b70c	0x8f4	virtual-padding	.idata	retail-section-alignment
loaded	PE	.rsrc	0x13c000	0x257c	resources	.rsrc	retail-pe-section-table
loaded	LINK	.rsrc	0x13e57c	0xa84	virtual-padding	.rsrc	retail-section-alignment
loaded	PE	.reloc	0x13f000	0xed74	base-relocations	.reloc	retail-pe-section-table
loaded	LINK	.reloc	0x14dd74	0x28c	virtual-padding	.reloc	retail-section-alignment
tu-data	SOURCE/Overview	rdata	0xeb058	0x8	constant	$T36566	candidate-coff-section-translation
tu-data	SOURCE/Overview	rdata	0xeb060	0x8	constant	$T36567	candidate-coff-section-translation
tu-data	SOURCE/Overview	rdata	0xeb068	0x8	constant	$T36568	candidate-coff-section-translation
tu-data	SOURCE/Overview	rdata	0xeb070	0x4	constant	$T36598	candidate-coff-section-translation
tu-data	SOURCE/Overview	rdata	0xeb074	0x4	constant	$T36599	candidate-coff-section-translation
tu-data	SOURCE/CURSOR	rdata	0xeb078	0x8	constant	$T36731	candidate-coff-section-translation
tu-data	SOURCE/TOWNMGR	rdata	0xeb080	0xc0	constant	_gTownObjectOrder$S37745	candidate-coff-section-translation
tu-data	SOURCE/TOWNMGR	rdata	0xeb140	0xc	allocation	??_7townManager@@6B@	candidate-coff-section-translation
tu-data	SOURCE/TOWNMGR	rdata	0xeb14c	0x4	padding	__homm2_pad_SOURCE_TOWNMGR_rdata_000eb14c	explicit-retail-zero-padding
tu-data	SOURCE/SPELLS	rdata	0xeb150	0x4	constant	$T38004	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb154	0x4	constant	$T38021	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb158	0x8	constant	$T38023	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb160	0x4	constant	$T38024	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb164	0x4	constant	$T38025	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb168	0x4	constant	$T38026	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb16c	0x4	constant	$T38027	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb170	0x4	constant	$T38028	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb174	0x4	constant	$T38029	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb178	0x4	constant	$T38030	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb17c	0x4	constant	$T38031	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb180	0x4	constant	$T38032	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb184	0x4	constant	$T38035	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb188	0x8	constant	$T38036	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb190	0x8	constant	$T38048	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb198	0x8	constant	$T38049	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1a0	0x8	constant	$T38050	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1a8	0x8	constant	$T38053	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1b0	0x8	constant	$T38054	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1b8	0x8	constant	$T38055	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1c0	0x4	constant	$T38056	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1c4	0x4	constant	$T38079	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1c8	0x8	constant	$T38080	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1d0	0x8	constant	$T38098	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1d8	0x8	constant	$T38099	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1e0	0x8	constant	$T38100	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1e8	0x4	constant	$T38105	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1ec	0x4	constant	$T38109	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1f0	0x4	constant	$T38110	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1f4	0x4	constant	$T38111	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1f8	0x4	constant	$T38112	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1fc	0x4	constant	$T38113	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb200	0x4	constant	$T38122	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb204	0x4	padding	__homm2_pad_SOURCE_SPELLS_rdata_000eb204	explicit-retail-zero-padding
tu-data	SOURCE/COMMAND	rdata	0xeb208	0x8	constant	$T37899	candidate-coff-section-translation
tu-data	SOURCE/COMMAND	rdata	0xeb210	0x8	constant	$T37902	candidate-coff-section-translation
tu-data	SOURCE/COMMAND	rdata	0xeb218	0x8	constant	$T37903	candidate-coff-section-translation
tu-data	SOURCE/COMMAND	rdata	0xeb220	0x8	constant	$T37904	candidate-coff-section-translation
tu-data	SOURCE/COMMAND	rdata	0xeb228	0x8	constant	$T37905	candidate-coff-section-translation
tu-data	SOURCE/COMMAND	rdata	0xeb230	0x8	constant	$T37906	candidate-coff-section-translation
tu-data	SOURCE/COMMAND	rdata	0xeb238	0x8	constant	$T37974	candidate-coff-section-translation
tu-data	SOURCE/COMMAND	rdata	0xeb240	0x8	constant	$T37989	candidate-coff-section-translation
tu-data	SOURCE/COMMAND	rdata	0xeb248	0x8	constant	$T37990	candidate-coff-section-translation
tu-data	SOURCE/COMMAND	rdata	0xeb250	0x8	constant	$T37991	candidate-coff-section-translation
tu-data	SOURCE/COMMAND	rdata	0xeb258	0x4	constant	$T37993	candidate-coff-section-translation
tu-data	SOURCE/COMMAND	rdata	0xeb25c	0x4	constant	$T37994	candidate-coff-section-translation
tu-data	SOURCE/COMMAND	rdata	0xeb260	0x8	constant	$T37995	candidate-coff-section-translation
tu-data	SOURCE/COMMAND	rdata	0xeb268	0x4	constant	$T37996	candidate-coff-section-translation
tu-data	SOURCE/Viewwrld	rdata	0xeb26c	0x4	constant	$T36619	candidate-coff-section-translation
tu-data	SOURCE/Viewwrld	rdata	0xeb270	0x4	constant	$T36620	candidate-coff-section-translation
tu-data	SOURCE/Viewwrld	rdata	0xeb274	0x4	constant	$T36621	candidate-coff-section-translation
tu-data	SOURCE/Viewwrld	rdata	0xeb278	0x4	constant	$T36622	candidate-coff-section-translation
tu-data	SOURCE/Viewwrld	rdata	0xeb27c	0x4	padding	__homm2_pad_SOURCE_Viewwrld_rdata_000eb27c	explicit-retail-zero-padding
tu-data	SOURCE/PHILAI	rdata	0xeb280	0x4	constant	_AI_EVENT_HUMAN_VALUE_FACTOR$S1540	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb284	0x4	constant	_AI_STRATEGIC_POSITION_SCORE_FACTOR$S1541	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb288	0x4	constant	_AI_CREATURE_SAME_RACE_FACTOR$S1542	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb28c	0x4	constant	_AI_FUTURE_DEFLATION_RATE$S1543	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb290	0x4	constant	_AI_HERO_PURCHASE_SAME_RACE_FACTOR$S1544	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb294	0x4	constant	_AI_ATTENTION_IDENTITY_FLOAT$S1545	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb298	0x4	constant	_AI_ATTENTION_IDENTITY$S1546	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb29c	0x4	constant	$T40132	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb2a0	0x4	constant	$T40140	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb2a4	0x4	constant	$T40141	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb2a8	0x8	constant	$T40142	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb2b0	0x8	constant	$T40162	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb2b8	0x8	constant	$T40164	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb2c0	0x8	constant	$T40177	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb2c8	0x8	constant	$T40178	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb2d0	0x8	constant	$T40179	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb2d8	0x8	constant	$T40180	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb2e0	0x8	constant	$T40194	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb2e8	0x8	constant	$T40195	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb2f0	0x8	constant	$T40196	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb2f8	0x8	constant	$T40197	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb300	0x8	constant	$T40198	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb308	0x8	constant	$T40199	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb310	0x4	constant	$T40200	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb314	0x4	constant	$T40201	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb318	0x8	constant	$T40202	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb320	0x8	constant	$T40203	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb328	0x8	constant	$T40204	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb330	0x8	constant	$T40205	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb338	0x8	constant	$T40206	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb340	0x8	constant	$T40215	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb348	0x8	constant	$T40216	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb350	0x8	constant	$T40217	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb358	0x8	constant	$T40218	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb360	0x8	constant	$T40219	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb368	0x8	constant	$T40220	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb370	0x8	constant	$T40221	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb378	0x8	constant	$T40252	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb380	0x8	constant	$T40253	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb388	0x8	constant	$T40254	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb390	0x8	constant	$T40255	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb398	0x8	constant	$T40256	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb3a0	0x8	constant	$T40257	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb3a8	0x8	constant	$T40258	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb3b0	0x8	constant	$T40259	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb3b8	0x8	constant	$T40260	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb3c0	0x4	constant	$T40261	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb3c4	0x4	constant	$T40262	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb3c8	0x8	constant	$T40263	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb3d0	0x8	constant	$T40264	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb3d8	0x8	constant	$T40265	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb3e0	0x8	constant	$T40266	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb3e8	0x8	constant	$T40267	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb3f0	0x8	constant	$T40268	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb3f8	0x8	constant	$T40273	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb400	0x8	constant	$T40274	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb408	0x8	constant	$T40275	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb410	0x8	constant	$T40276	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb418	0x8	constant	$T40277	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb420	0x8	constant	$T40278	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb428	0x8	constant	$T40279	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb430	0x8	constant	$T40282	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb438	0x8	constant	$T40283	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb440	0x8	constant	$T40288	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb448	0x8	constant	$T40289	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb450	0x8	constant	$T40297	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb458	0x8	constant	$T40304	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb460	0x4	constant	$T40305	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb464	0x4	constant	$T40308	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb468	0x8	constant	$T40309	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb470	0x8	constant	$T40310	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb478	0x8	constant	$T40311	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb480	0x8	constant	$T40312	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb488	0x4	constant	$T40323	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb48c	0x4	constant	$T40324	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb490	0x4	constant	$T40325	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb494	0x4	constant	$T40326	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb498	0x4	constant	$T40327	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb49c	0x4	constant	$T40328	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb4a0	0x4	constant	$T40331	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb4a4	0x4	constant	$T40332	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb4a8	0x8	constant	$T40333	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb4b0	0x8	constant	$T40334	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb4b8	0x8	constant	$T40335	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb4c0	0x8	constant	$T40364	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb4c8	0x4	constant	$T40367	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb4cc	0x4	constant	$T40374	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb4d0	0x8	constant	$T40377	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb4d8	0x4	constant	$T40381	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb4dc	0x4	constant	$T40382	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb4e0	0x4	constant	$T40383	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb4e4	0x4	constant	$T40384	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb4e8	0x4	constant	$T40385	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb4ec	0x4	constant	$T40386	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb4f0	0x4	constant	$T40387	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb4f4	0x4	constant	$T40388	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb4f8	0x4	constant	$T40389	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb4fc	0x4	constant	$T40390	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb500	0x4	constant	$T40391	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb504	0x4	constant	$T40392	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb508	0x4	constant	$T40393	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb50c	0x4	constant	$T40394	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb510	0x4	constant	$T40395	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb514	0x4	constant	$T40396	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb518	0x8	constant	$T40397	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb520	0x8	constant	$T40398	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb528	0x8	constant	$T40399	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb530	0x8	constant	$T40400	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb538	0x8	constant	$T40401	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb540	0x8	constant	$T40408	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb548	0x8	constant	$T40413	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb550	0x8	constant	$T40414	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb558	0x4	constant	$T40415	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb55c	0x4	constant	$T40416	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb560	0x8	constant	$T40417	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb568	0x8	constant	$T40429	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb570	0x8	constant	$T40430	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb578	0x4	constant	$T40433	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb57c	0x4	constant	$T40435	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb580	0x4	constant	$T40436	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb584	0x4	constant	$T40447	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb588	0x8	constant	$T40448	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb590	0x4	constant	$T40467	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb594	0x4	constant	$T40468	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb598	0x4	constant	$T40469	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb59c	0x4	constant	$T40470	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb5a0	0x4	constant	$T40471	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb5a4	0x4	constant	$T40472	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb5a8	0x8	constant	$T40473	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb5b0	0x8	constant	$T40474	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb5b8	0x4	constant	$T40475	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb5bc	0x4	constant	$T40483	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb5c0	0x4	constant	$T40484	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb5c4	0x4	constant	$T40487	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb5c8	0x4	constant	$T40488	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb5cc	0x4	constant	$T40489	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb5d0	0x8	constant	$T40490	candidate-coff-section-translation
tu-data	SOURCE/PHILAI	rdata	0xeb5d8	0x8	constant	$T40492	candidate-coff-section-translation
tu-data	SOURCE/ARMY	rdata	0xeb5e0	0x8	constant	$T38083	candidate-coff-section-translation
tu-data	SOURCE/ARMY	rdata	0xeb5e8	0x8	constant	$T38084	candidate-coff-section-translation
tu-data	SOURCE/ARMY	rdata	0xeb5f0	0x4	constant	$T38085	candidate-coff-section-translation
tu-data	SOURCE/ARMY	rdata	0xeb5f4	0x4	constant	$T38086	candidate-coff-section-translation
tu-data	SOURCE/ARMY	rdata	0xeb5f8	0x4	constant	$T38087	candidate-coff-section-translation
tu-data	SOURCE/ARMY	rdata	0xeb5fc	0x4	constant	$T38088	candidate-coff-section-translation
tu-data	SOURCE/ARMY	rdata	0xeb600	0x4	constant	$T38113	candidate-coff-section-translation
tu-data	SOURCE/ARMY	rdata	0xeb604	0x4	constant	$T38114	candidate-coff-section-translation
tu-data	SOURCE/ARMY	rdata	0xeb608	0x8	constant	$T38116	candidate-coff-section-translation
tu-data	SOURCE/ARMY	rdata	0xeb610	0x8	constant	$T38117	candidate-coff-section-translation
tu-data	SOURCE/ARMY	rdata	0xeb618	0x8	constant	$T38149	candidate-coff-section-translation
tu-data	SOURCE/ARMY	rdata	0xeb620	0x8	constant	$T38150	candidate-coff-section-translation
tu-data	SOURCE/ARMY	rdata	0xeb628	0x4	constant	$T38152	candidate-coff-section-translation
tu-data	SOURCE/ARMY	rdata	0xeb62c	0x4	constant	$T38153	candidate-coff-section-translation
tu-data	SOURCE/ARMY	rdata	0xeb630	0x8	constant	$T38156	candidate-coff-section-translation
tu-data	SOURCE/ARMY	rdata	0xeb638	0x8	constant	$T38157	candidate-coff-section-translation
tu-data	SOURCE/ARMY	rdata	0xeb640	0x8	constant	$T38158	candidate-coff-section-translation
tu-data	SOURCE/ARMY	rdata	0xeb648	0x8	constant	$T38159	candidate-coff-section-translation
tu-data	SOURCE/SWAPMGR	rdata	0xeb650	0xc	allocation	??_7swapManager@@6B@	candidate-coff-section-translation
tu-data	SOURCE/SWAPMGR	rdata	0xeb65c	0x4	padding	__homm2_pad_SOURCE_SWAPMGR_rdata_000eb65c	explicit-retail-zero-padding
tu-data	SOURCE/ADVMGR	rdata	0xeb660	0x20	constant	_environmentVolumes$S38631	candidate-coff-section-translation
tu-data	SOURCE/ADVMGR	rdata	0xeb680	0x4	constant	$T42370	candidate-coff-section-translation
tu-data	SOURCE/ADVMGR	rdata	0xeb684	0x4	constant	$T42371	candidate-coff-section-translation
tu-data	SOURCE/ADVMGR	rdata	0xeb688	0x4	constant	$T42372	candidate-coff-section-translation
tu-data	SOURCE/ADVMGR	rdata	0xeb68c	0x4	constant	$T42373	candidate-coff-section-translation
tu-data	SOURCE/ADVMGR	rdata	0xeb690	0x4	constant	$T42443	candidate-coff-section-translation
tu-data	SOURCE/ADVMGR	rdata	0xeb694	0x4	constant	$T42444	candidate-coff-section-translation
tu-data	SOURCE/ADVMGR	rdata	0xeb698	0x8	constant	$T42445	candidate-coff-section-translation
tu-data	SOURCE/ADVMGR	rdata	0xeb6a0	0x8	constant	$T42454	candidate-coff-section-translation
tu-data	SOURCE/ADVMGR	rdata	0xeb6a8	0x8	constant	$T42455	candidate-coff-section-translation
tu-data	SOURCE/ADVMGR	rdata	0xeb6b0	0x8	constant	$T42461	candidate-coff-section-translation
tu-data	SOURCE/ADVMGR	rdata	0xeb6b8	0x8	constant	$T42678	candidate-coff-section-translation
tu-data	SOURCE/ADVMGR	rdata	0xeb6c0	0x8	constant	$T42679	candidate-coff-section-translation
tu-data	SOURCE/ADVMGR	rdata	0xeb6c8	0xc	allocation	??_7advManager@@6B@	candidate-coff-section-translation
tu-data	SOURCE/ADVMGR	rdata	0xeb6d4	0x4	padding	__homm2_pad_SOURCE_ADVMGR_rdata_000eb6d4	explicit-retail-zero-padding
tu-data	SOURCE/HERO	rdata	0xeb6d8	0x8	constant	$T9257	candidate-coff-section-translation
tu-data	SOURCE/GAME	rdata	0xeb6e0	0x8	constant	$T44011	candidate-coff-section-translation
tu-data	SOURCE/GAME	rdata	0xeb6e8	0x8	constant	$T44055	candidate-coff-section-translation
tu-data	SOURCE/GAME	rdata	0xeb6f0	0x8	constant	$T44056	candidate-coff-section-translation
tu-data	SOURCE/GAME	rdata	0xeb6f8	0x8	constant	$T44130	candidate-coff-section-translation
tu-data	SOURCE/GAME	rdata	0xeb700	0x8	constant	$T44134	candidate-coff-section-translation
tu-data	SOURCE/GAME	rdata	0xeb708	0x8	constant	$T44135	candidate-coff-section-translation
tu-data	SOURCE/GAME	rdata	0xeb710	0x8	constant	$T44136	candidate-coff-section-translation
