BASE/Misc	?WritePrefsToRegistry@@YIXXZ	96.8254	Main Game Color Mouse Cursor	HMM2POL GameColorMouseCursor	0x51f038
BASE/Misc	?WritePrefsToRegistry@@YIXXZ	96.8254	Editor Show Menu	HMM2POL EditorShowMenu	0x51f058
BASE/Misc	?WritePrefsToRegistry@@YIXXZ	96.8254	Editor X	HMM2POL EditorWindowXLeft	0x51f070
BASE/Misc	?WritePrefsToRegistry@@YIXXZ	96.8254	Editor Y	HMM2POL EditorWindowYTop	0x51f08c
BASE/Misc	?WritePrefsToRegistry@@YIXXZ	96.8254	Editor Width	HMM2POL EditorWindowWidth	0x51f0a8
BASE/Misc	?WritePrefsToRegistry@@YIXXZ	96.8254	Editor Height	HMM2POL EditorWindowHeight	0x51f0c4
BASE/Misc	?WritePrefsToRegistry@@YIXXZ	96.8254	Editor Full Screen	HMM2POL EditorFullScreen	0x51f0e0
BASE/Misc	?WritePrefsToRegistry@@YIXXZ	96.8254	Editor Color Mouse Cursor	HMM2POL EditorColorMouseCursor	0x51f0fc
SOURCE/ADVMGR	?Main@advManager@@UAEHAAUtag_message@@@Z	81.1266	Coordinates at top left corner of view:\n\n  X: %d\n  Y: %d	\xd0\x9fP	0x4fe3f8
SOURCE/ADVMGR	?Main@advManager@@UAEHAAUtag_message@@@Z	81.1266	Are you sure you want to restart?  (Your current game will be lost)	Coordinates at top left corner of view:\x0a\x0a  X: %d\x0a  Y: %d	0x4ef3cc
SOURCE/ADVMGR	?Main@advManager@@UAEHAAUtag_message@@@Z	81.1266	Are you sure you want to load a new game?  (Your current game will be 	\xc2\xfb \xe4\xe5\xe9\xf1\xf2\xe2\xe8\xf2\xe5\xeb\xfc\xed\xee \xf5\xee\xf2\xe8\xf2\xe5 \xed\xe0\xf7\xe0\xf2\xfc \xf1\xed\xe0\xf7\xe0\xeb\xe0?  (\xdd\xf2\xe0 \xe8\xe3\xf0\xe0 \xe1\xf3\xe4\xe5\xf2 \xef\xee\xf2\xe5\xf0\xff\xed\xe0)	0x4ef408
SOURCE/ADVMGR	?Main@advManager@@UAEHAAUtag_message@@@Z	81.1266	lost)	\xc2\xfb \xe4\xe5\xe9\xf1\xf2\xe2\xe8\xf2\xe5\xeb\xfc\xed\xee \xf5\xee\xf2\xe8\xf2\xe5 \xe7\xe0\xe3\xf0\xf3\xe7\xe8\xf2\xfc \xed\xee\xe2\xf3\xfe \xe8\xe3\xf0\xf3? (\xdd\xf2\xe0 \xe8\xe3\xf0\xe0 \xe1\xf3\xe4\xe5\xf2 \xef\xee\xf2\xe5\xf0\xff\xed\xe0)	0x4ef44c
SOURCE/ADVMGR	?Main@advManager@@UAEHAAUtag_message@@@Z	81.1266	Are you sure you want to quit?	\xc2\xfb \xe4\xe5\xe9\xf1\xf2\xe2\xe8\xf2\xe5\xeb\xfc\xed\xee \xf5\xee\xf2\xe8\xf2\xe5 \xe2\xfb\xe9\xf2\xe8?	0x4ef494
SOURCE/ADVMGR	?ProcessDeSelect@advManager@@QAEHPAUtag_message@@PAHPAPAVmapCell@@@Z	62.4252	One or more heroes may still move, are you sure you want to end your turn?	\xce\xe4\xe8\xed \xe8\xeb\xe8 \xed\xe5\xf1\xea\xee\xeb\xfc\xea\xee \xe3\xe5\xf0\xee\xe5\xe2 \xe2\xf1\xe5 \xe5\xf9\xe5 \xec\xee\xe3\xf3\xf2 \xf5\xee\xe4\xe8\xf2\xfc. \xc2\xfb \xe4\xe5\xe9\xf1\xf2\xe2\xe8\xf2\xe5\xeb\xfc\xed\xee \xf5\xee\xf2\xe8\xf2\xe5 \xe7\xe0\xea\xee\xed\xf7\xe8\xf2\xfc \xf5\xee\xe4?	0x4ef5cc
SOURCE/ADVMGR	?DimensionDoor@advManager@@QAEXXZ	99.8775	Dimension Door failed!!!	\xcd\xe5 \xf3\xe4\xe0\xeb\xee\xf1\xfc \xee\xf2\xea\xf0\xfb\xf2\xfc \xcf\xf0\xee\xf1\xf2\xf0\xe0\xed\xf1\xf2\xe2\xe5\xed\xed\xfb\xe5 \xe2\xf0\xe0\xf2\xe0!!!	0x4eff64
SOURCE/ADVMGR	?TownGate@advManager@@QAEXH@Z	96.427	No available town.  Spell Failed!!!	\xcd\xe5\xf2 \xe4\xee\xf1\xf2\xf3\xef\xed\xee\xe3\xee \xe3\xee\xf0\xee\xe4\xe0.  \xc7\xe0\xea\xeb\xe8\xed\xe0\xed\xe8\xe5 \xef\xf0\xe5\xf0\xe2\xe0\xed\xee!	0x4eff94
