unit	location	macro	old_address	entity
BASE/DROPLIST_TYPES	include/BASE/DROPLIST_TYPES.h:12	SIZE		SDropListSourceFile
BASE/DROPLIST_TYPES	include/BASE/DROPLIST_TYPES.h:27	SIZE		SDropListSourceFiles
BASE/EXEC_TYPES	include/BASE/EXEC_TYPES.h:41	SIZE		SExecutiveText
BASE/INPUTMGR_TYPES	include/BASE/INPUTMGR_TYPES.h:17	SIZE		SInputManagerText
BASE/IconEntry	include/BASE/IconEntry.h:19	SIZE		IconEntry
BASE/MIDIWrap	include/BASE/MIDIWrap.h:15	SIZE		MIDIWrap
BASE/MIDI_TYPES	include/BASE/MIDI_TYPES.h:24	SIZE		SMidiText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:29	SIZE		SMiscMemoryText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:35	SIZE		SMiscInstallDefaultsText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:41	SIZE		SMiscGameDefaultsText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:50	SIZE		SMiscReadFileText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:105	SIZE		SMiscReadRegistryText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:115	SIZE		SMiscRemoteNameText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:121	SIZE		SMiscWriteFileText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:171	SIZE		SMiscWriteRegistryText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:187	SIZE		SMiscCdText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:204	SIZE		SMiscLogText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:212	SIZE		SMiscPcxText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:217	SIZE		SMiscFileText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:228	SIZE		SMiscDataEntryText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:245	SIZE		SMiscText
BASE/MOUSEMGR_TYPES	include/BASE/MOUSEMGR_TYPES.h:15	SIZE		SMouseManagerName
BASE/MOUSEMGR_TYPES	include/BASE/MOUSEMGR_TYPES.h:21	SIZE		SMouseManagerSourceFile
BASE/MOUSEMGR_TYPES	include/BASE/MOUSEMGR_TYPES.h:27	SIZE		SMouseManagerIconName
BASE/MOUSEMGR_TYPES	include/BASE/MOUSEMGR_TYPES.h:33	SIZE		SMouseManagerBitmapName
BASE/MOUSEMGR_TYPES	include/BASE/MOUSEMGR_TYPES.h:53	SIZE		SMouseManagerStrings
BASE/Misc	include/BASE/Misc.h:39	SIZE		MemEntry
BASE/Misc	include/BASE/Misc.h:67	SIZE		PCXHeader
BASE/SAMPLE_TYPES	include/BASE/SAMPLE_TYPES.h:14	SIZE		SSampleSourceFiles
BASE/TEXTWDGT_TYPES	include/BASE/TEXTWDGT_TYPES.h:17	SIZE		STextWidgetSourceFiles
BASE/TILESET_TYPES	include/BASE/TILESET_TYPES.h:16	SIZE		STilesetSourceFiles
BASE/WINMGR_TYPES	include/BASE/WINMGR_TYPES.h:23	SIZE		SWindowManagerText
BASE/baseManager	include/BASE/baseManager.h:54	SIZE		baseManager
BASE/bitmap	include/BASE/bitmap.h:52	SIZE		bitmap
BASE/border	include/BASE/border.h:34	SIZE		border
BASE/button	include/BASE/button.h:62	SIZE		button
BASE/dimmerWidget	include/BASE/dimmerWidget.h:27	SIZE		dimmerWidget
BASE/dropListWidget	include/BASE/dropListWidget.h:102	SIZE		dropListWidget
BASE/executive	include/BASE/executive.h:27	SIZE		executive
BASE/font	include/BASE/font.h:52	SIZE		font
BASE/heroWindowManager	include/BASE/heroWindowManager.h:57	SIZE		heroWindowManager
BASE/icon	include/BASE/icon.h:14	SIZE		SLimitData
BASE/icon	include/BASE/icon.h:66	SIZE		icon
BASE/iconWidget	include/BASE/iconWidget.h:50	SIZE		iconWidget
BASE/inputManager	include/BASE/inputManager.h:144	SIZE		inputManager
BASE/listBoxWidget	include/BASE/listBoxWidget.h:82	SIZE		listBoxWidget
BASE/message	include/BASE/message.h:206	SIZE		tag_messageKeyboardPayload
BASE/message	include/BASE/message.h:216	SIZE		tag_messageMousePayload
BASE/message	include/BASE/message.h:226	SIZE		tag_messageHoverPayload
BASE/message	include/BASE/message.h:232	SIZE		tag_messageWidgetData
BASE/message	include/BASE/message.h:245	SIZE		tag_messageWidgetPayload
BASE/message	include/BASE/message.h:264	SIZE		tag_messageExecutivePayload
BASE/message	include/BASE/message.h:274	SIZE		tag_messageUnknownPayload
BASE/message	include/BASE/message.h:284	SIZE		tag_messagePayload
BASE/message	include/BASE/message.h:290	SIZE		tag_message
BASE/mouseManager	include/BASE/mouseManager.h:63	SIZE		mouseManager
BASE/palette	include/BASE/palette.h:28	SIZE		palette
BASE/resourceManager	include/BASE/resourceManager.h:76	SIZE		resourceManager
BASE/sample	include/BASE/sample.h:16	SIZE		sample
BASE/sampleData	include/BASE/sampleData.h:32	SIZE		SamplePlaybackData
BASE/soundManager	include/BASE/soundManager.h:131	SIZE		soundManager
BASE/textEntryWidget	include/BASE/textEntryWidget.h:70	SIZE		textEntryWidget
BASE/textWidget	include/BASE/textWidget.h:41	SIZE		textWidget
BASE/tileset	include/BASE/tileset.h:18	SIZE		tileset
BASE/widget	include/BASE/widget.h:57	SIZE		widget
EDITOR/fullMap	include/EDITOR/fullMap.h:54	SIZE		fullMap
EDITOR/mapcell	include/EDITOR/mapcell.h:102	SIZE		mapCellExtra
EDITOR/mapcell	include/EDITOR/mapcell.h:145	SIZE		mapCell
SOURCE/ADVMGR_TYPES	include/SOURCE/ADVMGR_TYPES.h:21	SIZE		AdventureRemotePayload
SOURCE/ARMY	include/SOURCE/ARMY.h:159	SIZE		SMonFrameInfo
SOURCE/COMMAND	include/SOURCE/COMMAND.h:39	SIZE		CombatRemotePacket
SOURCE/CONFIG_TYPES	include/SOURCE/CONFIG_TYPES.h:127	SIZE		exeGfxConfig
SOURCE/CONFIG_TYPES	include/SOURCE/CONFIG_TYPES.h:128	SIZE		configStruct
SOURCE/CURSOR	include/SOURCE/CURSOR.h:105	SIZE		SMapChange
SOURCE/EVENTS_TYPES	include/SOURCE/EVENTS_TYPES.h:40	SIZE		combatRemoteData
SOURCE/EVENTS_TYPES	include/SOURCE/EVENTS_TYPES.h:41	SIZE		combatRemoteHeroFragment
SOURCE/ExpCampaign	include/SOURCE/ExpCampaign.h:149	SIZE		ExpCampaign
SOURCE/FINDPATH_TYPES	include/SOURCE/FINDPATH_TYPES.h:12	SIZE		SFindPathSourceLine
SOURCE/FINDPATH_TYPES	include/SOURCE/FINDPATH_TYPES.h:18	SIZE		SFindPathSourceLocation
SOURCE/GAME	include/SOURCE/GAME.h:69	SIZE		EventExtra
SOURCE/KB	include/SOURCE/KB.h:134	SIZE		SCampaignChoice
SOURCE/KB	include/SOURCE/KB.h:150	SIZE		SPlayerExit
SOURCE/KB	include/SOURCE/KB.h:291	SIZE		HighScoreEntry
SOURCE/KB	include/SOURCE/KB.h:405	SIZE		OldMainNetSetup
SOURCE/KB	include/SOURCE/KB.h:411	SIZE		OldMainNetBuffer
SOURCE/KB	include/SOURCE/KB.h:431	SIZE		KbRemotePacket
SOURCE/KB_TYPES	include/SOURCE/KB_TYPES.h:687	SIZE		SMenuEnableStatus
SOURCE/KB_TYPES	include/SOURCE/KB_TYPES.h:695	SIZE		tag_tilePoint
SOURCE/KB_TYPES	include/SOURCE/KB_TYPES.h:734	SIZE		tag_monsterInfo
SOURCE/KB_TYPES	include/SOURCE/KB_TYPES.h:748	SIZE		SCmbtHero
SOURCE/KB_TYPES	include/SOURCE/KB_TYPES.h:819	SIZE		SSpellInfo
SOURCE/KB_TYPES	include/SOURCE/KB_TYPES.h:831	SIZE		SWinSetup
SOURCE/Modem	include/SOURCE/Modem.h:61	SIZE		inque_t
SOURCE/Modem	include/SOURCE/Modem.h:62	SIZE		outque_t
SOURCE/REMOTE	include/SOURCE/REMOTE.h:60	SIZE		RemotePacketHeader
SOURCE/REMOTE	include/SOURCE/REMOTE.h:61	SIZE		RemoteMessage
SOURCE/REMOTE_TYPES	include/SOURCE/REMOTE_TYPES.h:55	SIZE		SNetPlayerInfo
SOURCE/REQUEST	include/SOURCE/REQUEST.h:76	SIZE		SMapHeader
SOURCE/SMACKMGR	include/SOURCE/SMACKMGR.h:44	SIZE		tag_rect
SOURCE/SMACKMGR	include/SOURCE/SMACKMGR.h:45	SIZE		SSmackOptions
SOURCE/SMACKMGR	include/SOURCE/SMACKMGR.h:46	SIZE		SmackMilesDigitalDriver
SOURCE/SMACKMGR	include/SOURCE/SMACKMGR.h:47	SIZE		SmackSum
SOURCE/TOWNMGR	include/SOURCE/TOWNMGR.h:20	SIZE		SBuildingInfo
SOURCE/Wsnetwin	include/SOURCE/Wsnetwin.h:28	SIZE		WinsockStartupMessage
SOURCE/X_GLOBAL	include/SOURCE/X_GLOBAL.h:70	SIZE		SCmbtObstacle
SOURCE/X_GLOBAL	include/SOURCE/X_GLOBAL.h:71	SIZE		SElevationOverlay
SOURCE/advManager	include/SOURCE/advManager.h:377	SIZE		advManager
SOURCE/army	include/SOURCE/army.h:156	SIZE		army
SOURCE/armyGroup	include/SOURCE/armyGroup.h:54	SIZE		armyGroup
SOURCE/bankBox	include/SOURCE/bankBox.h:21	SIZE		bankBox
SOURCE/combatManager	include/SOURCE/combatManager.h:53	SIZE		SBolt
SOURCE/combatManager	include/SOURCE/combatManager.h:825	SIZE		combatManager
SOURCE/comwin	include/SOURCE/comwin.h:49	SIZE		ComPortState
SOURCE/dpnetwin	include/SOURCE/dpnetwin.h:58	SIZE		DirectPlayStartupMessage
SOURCE/fileRequester	include/SOURCE/fileRequester.h:114	SIZE		fileRequester
SOURCE/game	include/SOURCE/game.h:57	SIZE		boatRecord
SOURCE/game	include/SOURCE/game.h:326	SIZE		game
SOURCE/hero	include/SOURCE/hero.h:232	SIZE		hero
SOURCE/hexcell	include/SOURCE/hexcell.h:44	SIZE		hexcell
SOURCE/highScoreManager	include/SOURCE/highScoreManager.h:63	SIZE		highScoreManager
SOURCE/netwin	include/SOURCE/netwin.h:121	SIZE		NetbiosControlBlock
SOURCE/netwin	include/SOURCE/netwin.h:122	SIZE		NetbiosName
SOURCE/netwin	include/SOURCE/netwin.h:123	SIZE		NetbiosPayload
SOURCE/netwin	include/SOURCE/netwin.h:124	SIZE		NetbiosSessionBuffer
SOURCE/netwin	include/SOURCE/netwin.h:125	SIZE		NetbiosThreadEvents
SOURCE/playerData	include/SOURCE/playerData.h:34	SIZE		playerAttentionWeights
SOURCE/playerData	include/SOURCE/playerData.h:48	SIZE		playerAIData
SOURCE/playerData	include/SOURCE/playerData.h:107	SIZE		playerData
SOURCE/recruitUnit	include/SOURCE/recruitUnit.h:48	SIZE		recruitUnit
SOURCE/searchArray	include/SOURCE/searchArray.h:44	SIZE		searchCell
SOURCE/searchArray	include/SOURCE/searchArray.h:85	SIZE		searchNode
SOURCE/searchArray	include/SOURCE/searchArray.h:170	SIZE		searchArray
SOURCE/strip	include/SOURCE/strip.h:69	SIZE		strip
SOURCE/swapManager	include/SOURCE/swapManager.h:52	SIZE		swapManager
SOURCE/town	include/SOURCE/town.h:115	SIZE		town
SOURCE/townManager	include/SOURCE/townManager.h:97	SIZE		townManager
SOURCE/townObject	include/SOURCE/townObject.h:24	SIZE		townObject
SOURCE/wingraph	include/SOURCE/wingraph.h:37	SIZE		_PALETTE
SOURCE/wingraph	include/SOURCE/wingraph.h:44	SIZE		_IMAGE
BASE/BASEMGR	src/BASE/BASEMGR.cpp:5	VA	0x004d2530	baseManager::baseManager(void)
BASE/BASEMGR	src/BASE/BASEMGR.cpp:12	DATA_COMPGEN	0x0051fd34	defaultManagerName
BASE/BASEMGR	src/BASE/BASEMGR.cpp:16	VTBL	0x004eba70	baseManager
BASE/BITMAP	src/BASE/BITMAP.cpp:16	VA	0x004cffc0	bitmap::bitmap(void)
BASE/BITMAP	src/BASE/BITMAP.cpp:26	VA	0x004d0040	bitmap::bitmap(BitmapType p1, i16 p2, i16 p3)
BASE/BITMAP	src/BASE/BITMAP.cpp:29	DATA	0x0051f9f8	static char dimensionsAllocationSourceFile[] = RETAIL_FILE;
BASE/BITMAP	src/BASE/BITMAP.cpp:37	VA	0x004d00a0	bitmap::bitmap(u32l id)
BASE/BITMAP	src/BASE/BITMAP.cpp:40	DATA	0x0051fa20	static char resourceAllocationSourceFile[] = RETAIL_FILE;
BASE/BITMAP	src/BASE/BITMAP.cpp:53	VA	0x004d0130	inline bitmap::~bitmap()
BASE/BITMAP	src/BASE/BITMAP.cpp:55	DATA	0x0051fa48	static char destructionSourceFile[] = RETAIL_FILE;
BASE/BITMAP	src/BASE/BITMAP.cpp:61	VA	0x004d0160	void bitmap::DrawToBufferCareful(i16 x, i16 y)
BASE/BITMAP	src/BASE/BITMAP.cpp:97	VA	0x004d0260	inline void bitmap::DrawToBuffer(i16 x, i16 y)
BASE/BITMAP	src/BASE/BITMAP.cpp:104	VA	0x004d02a0	void bitmap::DrawToScreen(i16 x, i16 y)
BASE/BITMAP	src/BASE/BITMAP.cpp:111	VA	0x004d02e0	void bitmap::GrabScreen(i16 x, i16 y)
BASE/BITMAP	src/BASE/BITMAP.cpp:116	VA	0x004d0310	inline void bitmap::GrabBitmap(class bitmap* src, i16 x, i16 y)
BASE/BITMAP	src/BASE/BITMAP.cpp:121	VA	0x004d0340	void bitmap::GrabBitmapCareful(class bitmap* source, i16 x, i16 y)
BASE/BITMAP	src/BASE/BITMAP.cpp:154	VA	0x004d0430	void bitmap::CopyTo(
BASE/BITMAP	src/BASE/BITMAP.cpp:205	VA	0x004d0500	void bitmap::CopyToCareful(
BASE/BITMAP	src/BASE/BITMAP.cpp:235	VTBL	0x004eba3c	bitmap
BASE/BITS	src/BASE/BITS.cpp:11	VA	0x004d1594	extern "C" i32 __cdecl BitTest(const void* bits, BitIndex bitIndex)
BASE/BITS	src/BASE/BITS.cpp:33	VA	0x004d15c2	extern "C" void __cdecl BitSet(void* bits, BitIndex bitIndex)
BASE/BITS	src/BASE/BITS.cpp:49	VA	0x004d15e2	extern "C" void __cdecl BitClear(void* bits, BitIndex bitIndex)
BASE/BORDER	src/BASE/BORDER.cpp:17	VA	0x004d20a0	border::border(void) : widget(0, 0, 0, 0, 0, WIDGET_KIND_NONE)
BASE/BORDER	src/BASE/BORDER.cpp:25	VA	0x004d2130	border::border(
BASE/BORDER	src/BASE/BORDER.cpp:45	VA	0x004d21a0	inline border::~border()
BASE/BORDER	src/BASE/BORDER.cpp:53	VA	0x004d21e0	void border::Read(void)
BASE/BORDER	src/BASE/BORDER.cpp:82	VA	0x004d22f0	MessageDispatchResult border::Main(struct tag_message& msg)
BASE/BORDER	src/BASE/BORDER.cpp:136	VA	0x004d2480	void border::Draw(void)
BASE/BORDER	src/BASE/BORDER.cpp:169	VTBL	0x004eba60	border
BASE/BUTTON	src/BASE/BUTTON.cpp:22	VA	0x004dd440	button::button(void) : widget(0, 0, 0, 0, 0, WIDGET_KIND_NONE)
BASE/BUTTON	src/BASE/BUTTON.cpp:32	VA	0x004dd4c0	button::button(
BASE/BUTTON	src/BASE/BUTTON.cpp:55	VA	0x004dd530	button::button(
BASE/BUTTON	src/BASE/BUTTON.cpp:79	VA	0x004dd5b0	void button::Read(void)
BASE/BUTTON	src/BASE/BUTTON.cpp:99	VA	0x004dd6a0	inline button::~button()
BASE/BUTTON	src/BASE/BUTTON.cpp:124	VA	0x004dd6d0	MessageDispatchResult button::Main(tag_message& msg)
BASE/BUTTON	src/BASE/BUTTON.cpp:234	VA	0x004ddc70	H2_ENUM_RETURN(MessageDispatchResult, i16) button::Select(struct tag_message& msg)
BASE/BUTTON	src/BASE/BUTTON.cpp:255	VA	0x004ddd10	H2_ENUM_RETURN(MessageDispatchResult, i16) button::Deselect(struct tag_message& msg)
BASE/BUTTON	src/BASE/BUTTON.cpp:262	VA	0x004ddda0	void button::Draw(void)
BASE/BUTTON	src/BASE/BUTTON.cpp:273	VTBL	0x004ebaf0	button
BASE/BUTTON	src/BASE/BUTTON.cpp:275	DATA	0x0052125c	MessageModifier iLeftRightSave = MESSAGE_MODIFIER_NONE;
BASE/Blur	src/BASE/Blur.cpp:104	SIZE		SBlurText
BASE/Blur	src/BASE/Blur.cpp:106	DATA	0x0051fdc0	static SBlurText gBlurText =
BASE/Blur	src/BASE/Blur.cpp:109	VA	0x004d28e0	void DoBlur(
BASE/Blur	src/BASE/Blur.cpp:388	DATA_COMPGEN	0x004eba84	combatSpeedDelayMilliseconds
BASE/Bzip	src/BASE/Bzip.cpp:38	DATA	0x00538070	u32 globalCrc;
BASE/Bzip	src/BASE/Bzip.cpp:39	DATA	0x0053806c	i32 bsInUse;
BASE/Bzip	src/BASE/Bzip.cpp:40	DATA	0x00534ed0	BitStream aBitStreamBuffer;
BASE/Bzip	src/BASE/Bzip.cpp:41	DATA	0x00537428	i32 bytesOut;
BASE/Bzip	src/BASE/Bzip.cpp:42	DATA	0x0053701c	UInt32 bigL;
BASE/Bzip	src/BASE/Bzip.cpp:43	DATA	0x00537020	UInt32 bigR;
BASE/Bzip	src/BASE/Bzip.cpp:44	DATA	0x00537018	UInt32 bigD;
BASE/Bzip	src/BASE/Bzip.cpp:45	DATA	0x00537010	UInt32 bitsOutstanding;
BASE/Bzip	src/BASE/Bzip.cpp:46	DATA	0x00537830	Model bogusModel;
BASE/Bzip	src/BASE/Bzip.cpp:56	DATA	0x00534ef0	Model models[8];
BASE/Bzip	src/BASE/Bzip.cpp:76	DATA	0x0051ff50	UInt32 crc32Table[256] =
BASE/Bzip	src/BASE/Bzip.cpp:115	DATA	0x00520350	UInt32* words = NULL;
BASE/Bzip	src/BASE/Bzip.cpp:116	DATA	0x00520354	Int32* zptr = NULL;
BASE/Bzip	src/BASE/Bzip.cpp:117	DATA	0x00520358	Int32* ftab = NULL;
BASE/Bzip	src/BASE/Bzip.cpp:118	DATA	0x0052035c	UChar* block = NULL;
BASE/Bzip	src/BASE/Bzip.cpp:119	DATA	0x00520360	UChar* ll = NULL;
BASE/Bzip	src/BASE/Bzip.cpp:120	DATA	0x00538068	Int32 last;
BASE/Bzip	src/BASE/Bzip.cpp:121	DATA	0x0053805c	Int32 lastPP;
BASE/Bzip	src/BASE/Bzip.cpp:122	DATA	0x00534ee0	Int32 origPtr;
BASE/Bzip	src/BASE/Bzip.cpp:123	DATA	0x00538058	Int32 blockSize100k;
BASE/Bzip	src/BASE/Bzip.cpp:124	DATA	0x00537014	Int32 veryVerbose;
BASE/Bzip	src/BASE/Bzip.cpp:125	DATA	0x00538074	Char* progName;
BASE/Bzip	src/BASE/Bzip.cpp:126	DATA	0x00538064	Int32 compressing;
BASE/Bzip	src/BASE/Bzip.cpp:127	DATA	0x00538060	Int32 bytesIn;
BASE/Bzip	src/BASE/Bzip.cpp:128	DATA	0x00537c54	Int32 verbose;
BASE/Bzip	src/BASE/Bzip.cpp:129	DATA	0x00537024	FILE* outputHandleJustInCase;
BASE/Bzip	src/BASE/Bzip.cpp:146	VA	0x004d4050	void initialiseCRC(void)
BASE/Bzip	src/BASE/Bzip.cpp:151	VA	0x004d4070	u32 getFinalCRC(void)
BASE/Bzip	src/BASE/Bzip.cpp:156	VA	0x004d4090	u32 getGlobalCRC(void)
BASE/Bzip	src/BASE/Bzip.cpp:161	VA	0x004d40b0	void setGlobalCRC(u32 newCrc)
BASE/Bzip	src/BASE/Bzip.cpp:166	VA	0x004d40d0	BitStream* bsOpenReadStream(FILE* f)
BASE/Bzip	src/BASE/Bzip.cpp:170	DATA_COMPGEN	0x00520364	bsOpenReadStreamBsOpenReadStream
BASE/Bzip	src/BASE/Bzip.cpp:180	VA	0x004d4140	BitStream* bsOpenWriteStream(FILE* f)
BASE/Bzip	src/BASE/Bzip.cpp:184	DATA_COMPGEN	0x00520378	bsOpenWriteStreamBsOpenWriteStream
BASE/Bzip	src/BASE/Bzip.cpp:194	VA	0x004d41b0	void bsPutBit(BitStream* bs, i32 bit)
BASE/Bzip	src/BASE/Bzip.cpp:210	VA	0x004d4240	i32 bsGetBit(BitStream* bs)
BASE/Bzip	src/BASE/Bzip.cpp:228	VA	0x004d42e0	u8 bsGetUChar(BitStream* bs)
BASE/Bzip	src/BASE/Bzip.cpp:240	VA	0x004d4330	void bsPutUChar(BitStream* bs, u8 c)
BASE/Bzip	src/BASE/Bzip.cpp:247	VA	0x004d4380	void bsClose(BitStream* bs)
BASE/Bzip	src/BASE/Bzip.cpp:251	DATA_COMPGEN	0x0052038c	bsCloseBsClose
BASE/Bzip	src/BASE/Bzip.cpp:270	VA	0x004d4470	u32 minUInt32(u32 a, u32 b)
BASE/Bzip	src/BASE/Bzip.cpp:278	VA	0x004d44b0	void arithCodeBitPlusFollow(BitStream* bs, UInt32 bit)
BASE/Bzip	src/BASE/Bzip.cpp:287	VA	0x004d4500	void arithCodeStartEncoding(BitStream* bs)
BASE/Bzip	src/BASE/Bzip.cpp:294	VA	0x004d4540	void arithCodeDoneEncoding(BitStream* bs)
BASE/Bzip	src/BASE/Bzip.cpp:302	VA	0x004d4590	void arithCodeStartDecoding(BitStream* bs)
BASE/Bzip	src/BASE/Bzip.cpp:313	VA	0x004d4600	void arithCodeDoneDecoding(BitStream* bs)
BASE/Bzip	src/BASE/Bzip.cpp:318	VA	0x004d4620	void arithCodeRenormalise_Encode(BitStream* bs)
BASE/Bzip	src/BASE/Bzip.cpp:335	VA	0x004d46c0	void arithCodeSymbol(BitStream* bs, Model* m, Int32 symbol)
BASE/Bzip	src/BASE/Bzip.cpp:359	DATA_COMPGEN	0x00520394	arithCodeSymbolArithCodeSymbolTooManyBitsOutstanding
BASE/Bzip	src/BASE/Bzip.cpp:362	VA	0x004d47a0	Int32 arithDecodeSymbol(BitStream* bs, Model* m)
BASE/Bzip	src/BASE/Bzip.cpp:396	VA	0x004d48a0	void initModel(
BASE/Bzip	src/BASE/Bzip.cpp:425	VA	0x004d4980	void dumpModelStats(Model* m)
BASE/Bzip	src/BASE/Bzip.cpp:427	DATA_COMPGEN	0x005203c0	dumpModelStatsModelSScalingsD
BASE/Bzip	src/BASE/Bzip.cpp:431	VA	0x004d49c0	void updateModel(Model* m, Int32 symbol)
BASE/Bzip	src/BASE/Bzip.cpp:447	VA	0x004d4a60	void putSymbol(Model* m, Int32 symbol, BitStream* bs)
BASE/Bzip	src/BASE/Bzip.cpp:453	VA	0x004d4aa0	Int32 getSymbol(Model* m, BitStream* bs)
BASE/Bzip	src/BASE/Bzip.cpp:463	VA	0x004d4ae0	void initBogusModel(void)
BASE/Bzip	src/BASE/Bzip.cpp:465	DATA_COMPGEN	0x005203d8	initBogusModelBogus
BASE/Bzip	src/BASE/Bzip.cpp:468	VA	0x004d4b10	void putUChar(BitStream* bs, UChar c)
BASE/Bzip	src/BASE/Bzip.cpp:473	VA	0x004d4b40	void putInt32(BitStream* bs, Int32 i)
BASE/Bzip	src/BASE/Bzip.cpp:481	VA	0x004d4bb0	void putUInt32(BitStream* bs, UInt32 i)
BASE/Bzip	src/BASE/Bzip.cpp:489	VA	0x004d4c20	UChar getUChar(BitStream* bs)
BASE/Bzip	src/BASE/Bzip.cpp:494	VA	0x004d4c50	Int32 getInt32(BitStream* bs)
BASE/Bzip	src/BASE/Bzip.cpp:505	VA	0x004d4cc0	UInt32 getUInt32(BitStream* bs)
BASE/Bzip	src/BASE/Bzip.cpp:516	VA	0x004d4d30	void initModels(void)
BASE/Bzip	src/BASE/Bzip.cpp:518	DATA_COMPGEN	0x005203e0	initModelsBasis
BASE/Bzip	src/BASE/Bzip.cpp:519	DATA_COMPGEN	0x005203e8	initModels23
BASE/Bzip	src/BASE/Bzip.cpp:520	DATA_COMPGEN	0x005203ec	initModels47
BASE/Bzip	src/BASE/Bzip.cpp:521	DATA_COMPGEN	0x005203f0	initModels815
BASE/Bzip	src/BASE/Bzip.cpp:522	DATA_COMPGEN	0x005203f8	initModels1631
BASE/Bzip	src/BASE/Bzip.cpp:523	DATA_COMPGEN	0x00520400	initModels3263
BASE/Bzip	src/BASE/Bzip.cpp:524	DATA_COMPGEN	0x00520408	initModels64127
BASE/Bzip	src/BASE/Bzip.cpp:525	DATA_COMPGEN	0x00520410	initModels128255
BASE/Bzip	src/BASE/Bzip.cpp:528	VA	0x004d4e10	void dumpAllModelStats(void)
BASE/Bzip	src/BASE/Bzip.cpp:541	VA	0x004d4e90	Int32 getMTFVal(BitStream* bs)
BASE/Bzip	src/BASE/Bzip.cpp:583	VA	0x004d4ff0	void sendMTFVal(BitStream* bs, Int32 n)
BASE/Bzip	src/BASE/Bzip.cpp:632	DATA_COMPGEN	0x00520418	sendMTFValSendMTFValBadValue
BASE/Bzip	src/BASE/Bzip.cpp:636	VA	0x004d5270	void FreeCompressStructures(void)
BASE/Bzip	src/BASE/Bzip.cpp:639	DATA_COMPGEN	0x00520430	freeCompressStructuresSourceFile
BASE/Bzip	src/BASE/Bzip.cpp:641	DATA_COMPGEN	0x00520458	freeCompressStructuresSourceFile2
BASE/Bzip	src/BASE/Bzip.cpp:643	DATA_COMPGEN	0x00520480	freeCompressStructuresSourceFile3
BASE/Bzip	src/BASE/Bzip.cpp:649	VA	0x004d5310	void allocateCompressStructures(void)
BASE/Bzip	src/BASE/Bzip.cpp:653	DATA_COMPGEN	0x005204a8	allocateCompressStructuresSourceFile
BASE/Bzip	src/BASE/Bzip.cpp:654	DATA_COMPGEN	0x005204d0	allocateCompressStructuresSourceFile2
BASE/Bzip	src/BASE/Bzip.cpp:655	DATA_COMPGEN	0x005204f8	allocateCompressStructuresSourceFile3
BASE/Bzip	src/BASE/Bzip.cpp:665	VA	0x004d53e0	void FreeDecompressStructures(void)
BASE/Bzip	src/BASE/Bzip.cpp:668	DATA_COMPGEN	0x00520520	freeDecompressStructuresSourceFile
BASE/Bzip	src/BASE/Bzip.cpp:670	DATA_COMPGEN	0x00520548	freeDecompressStructuresSourceFile2
BASE/Bzip	src/BASE/Bzip.cpp:672	DATA_COMPGEN	0x00520570	freeDecompressStructuresSourceFile3
BASE/Bzip	src/BASE/Bzip.cpp:678	VA	0x004d5480	void setDecompressStructureSizes(Int32 newSize100k)
BASE/Bzip	src/BASE/Bzip.cpp:688	DATA_COMPGEN	0x00520598	setDecompressStructureSizesSourceFile
BASE/Bzip	src/BASE/Bzip.cpp:689	DATA_COMPGEN	0x005205c0	setDecompressStructureSizesSourceFile2
BASE/Bzip	src/BASE/Bzip.cpp:690	DATA_COMPGEN	0x005205e8	setDecompressStructureSizesSourceFile3
BASE/Bzip	src/BASE/Bzip.cpp:699	VA	0x004d5570	UInt32 GETALL(Int32 a)
BASE/Bzip	src/BASE/Bzip.cpp:704	VA	0x004d55a0	void SETREST16(Int32 a, UInt32 w)
BASE/Bzip	src/BASE/Bzip.cpp:709	VA	0x004d55f0	void SETFIRST16(Int32 a, UInt32 w)
BASE/Bzip	src/BASE/Bzip.cpp:714	VA	0x004d5630	void SETREST(Int32 a, UInt32 w)
BASE/Bzip	src/BASE/Bzip.cpp:719	VA	0x004d5680	void SETFIRST(Int32 a, UChar c)
BASE/Bzip	src/BASE/Bzip.cpp:724	VA	0x004d56c0	void SETSECOND(Int32 a, UChar c)
BASE/Bzip	src/BASE/Bzip.cpp:729	VA	0x004d5700	void SETTHIRD(Int32 a, UChar c)
BASE/Bzip	src/BASE/Bzip.cpp:734	VA	0x004d5740	void SETFOURTH(Int32 a, UChar c)
BASE/Bzip	src/BASE/Bzip.cpp:739	VA	0x004d5780	Int32 NORMALISE(Int32 p)
BASE/Bzip	src/BASE/Bzip.cpp:748	VA	0x004d57d0	Int32 NORMALISEHI(Int32 p)
