# Generated by `homm2 audit version-delta`; do not hand-edit.
# /home/sheep/Projects/homm2/homm2-buka/build/orig/HMM2PL.exe vs /home/sheep/Projects/homm2/homm2-decomp/build/orig/HEROES2W.EXE
# CANDIDATES, not findings: VC 4.2 and VC6 disagree about inlining
# and constant chunking, so read both bodies before writing a row
# into docs/version-changes.md.
# added/removed are from Buka's side: 'added' is in 2.1 only.
channels	unit	symbol	lead	transition	buka_size	pol_size	size_delta	calls_added	calls_removed	convention	strings_buka	strings_pol	constants_added	constants_removed
calls,strings,constants	BASE/Misc	?BaseAlloc@@YIPAXIPADH@Z	open-both	o2-od	0x113	0x20f	-252	?InitMemEntry@@?XXZ strcpy	(indirect) ?LogInt@@?XPADHHHHHHH@Z fclose fopen fputs malloc +1			IME KB.LOG KBAlloc    Size %d   Ptr %d   File %s  Line %d +1	0x4ax5 0x0x2 0x1x2 0x10	0xfffffc19x6 0x4x4 0x2x3 0xffffffffx3 0x3x2 0x2bcx2 +3
calls,strings,constants	BASE/Misc	?BaseFree@@YIXPAXPADH@Z	open-both	o2-od	0x154	0x386	-562	?InitMemEntry@@?XXZ	(indirect)x3 fclosex3 fopenx3 fputsx3 ?LogInt@@?XPADHHHHHHH@Z malloc +1			KB.LOGx3 at+x3 IME +1	0x0x4 0x1x2 0x4ax2 0xc	0x4x8 0x2x6 0x8x6 0xfffffc19x6 0xffffffffx6 0x3x3 +3
calls,strings,constants	BASE/Misc	?CreatePCXFile@@YIXPADPAEHH1@Z	open-both	o2-od	0x2a9	0x1ee	187	memset				I:\Projects\Heroes\Prog\BASE\Misc.cppx4	0x1x10 0x0x5 0x4x4 0xc0x2 0xffx2 0xc +2	0x40x2 0x8cx2 0x20 0x5c8 0x5f0 0x5f6 +1
calls,strings,constants	BASE/Misc	?GetDataEntry@@YIXPAD0H0HH@Z	open-both	o2-od	0x464	0x386	222	strcpyx4			¸hÒN		0x0x11 0x8x4 0x1 0x6 0xa 0x19 +4	0x2x3 0x3x3 0x9cx2 0xf 0x5f 0xffffffff
calls,strings,constants	BASE/Misc	?LogInt@@YIXPADHHHHHHH@Z	forward	o2-od	0x1b6	0x224	-110		(indirect) fclose fopen fputs			KB.LOG at+	0xd0	0x2x2 0x4x2 0x8x2 0x2bcx2 0xffffffffx2 0x3
calls,strings,constants	BASE/Misc	?PrintMemoryLeaks@@YIXXZ	forward	o2-od	0xe7	0x134	-77		(indirect) fclose fopen fputs			KB.LOG at+	0x4ax4 0x0 0x1 0x7d0	0x2x2 0x4x2 0x8x2 0x1f4x2 0xffffffffx2 0x3 +2
calls,strings,constants	BASE/Misc	?ReadPrefsFromFile@@YIXXZ	parity-gap	o2-od	0xcb	0x13f	-116	?WritePrefs@@?XXZx2 strcpyx2 ?SetGameDefaults@@?XXZ ?SetInstallDefaults@@?XXZ _access	?UpdateSystemOptionsMenu@@?XXZ ?WritePrefsToRegistry@@?XXZ access			AUTOx2	0x8x3 0x0	0x2x4 0x3x4 0xffffffffx4 0x1 0x67
calls,strings,constants	BASE/Misc	?ReadPrefsFromRegistry@@YIXXZ	parity-gap	o2-od	0x89f	0x7ab	244	strcpyx3 ?SetInstallDefaults@@?XXZ ?WritePrefs@@?XXZ memset	?UpdateSystemOptionsMenu@@?XXZ ?WritePrefsToRegistry@@?XXZ		HMM2POL MusicVolumex2 HMM2POL AutoCombat HMM2POL AutoCombatSpells +44	AUTOx2 Music Volumex2 AppPath +45	0x1cx12 0x0x6 0x8x3 0xc8x2 0xc 0xd8 +1	0x2x7 0x3x6 0xffffffffx6 0xd4x3 0x67x2 0x1
calls,strings,constants	BASE/Misc	?SetGameDefaults@@YIXXZ	open-both	o2-od	0x29d	0x1b5	232	?Random@@?HHH@Zx4 memset strcpy	randx4		ABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789 Íåèçâåñòíûé ãåðîé	The Unknown Hero	0x0x18 0x1x10 0x1cx8 0x3 0x4 0x8 +7	0x7d01 0xffffffff
calls,strings,constants	BASE/Misc	?SetupCDDrive@@YIHXZ	parity-gap	o2-od	0x35f	0x3ed	-142	?DriveSupportsFreeSpaceQuery@@?_ND@Zx2 strlenx2 ?IsCDDrive@@?HH@Z memset strcpy	(indirect)x9 sprintfx2		%s%s %sHEROES2x.AGG .\DATA\ +2	\HEROES2\ANIM\x4 %c:\heroes2\anim\voy24.smk %s\heroes2\anim\voy24.smk +7	0x1x7 0x4x2 0x10 0x1a 0x5a 0x1ec	0x2f0x6 0xffffffffx4 0x2x3 0x3x3 0x8x3 0xcx2 +3
calls,strings,constants	BASE/Misc	?WritePrefsToRegistry@@YIXXZ	parity-gap	o2-od	0x4cb	0x491	58	strcpy			HMM2POL AutoCombat HMM2POL AutoCombatSpells HMM2POL BlackoutComputer +42	Auto Combat Use Spells Autosave Blackout Computer +42	0x0 0x8 0x6c	0x2x2 0x3x2 0xccx2 0xffffffffx2
calls,strings,constants	BASE/PALETTE	??_Gpalette@@UAEPAXI@Z	forward	o2-od	0x2e	0x41	-19	??1palette@@UAE@XZ	??1resource@@UAE@XZ			I:\Projects\Heroes\Prog\BASE\PALETTE.CPP		0x0 0x15
calls,strings,constants	BASE/RESMGR	?ReadBlock@resourceManager@@QAEXPACK@Z	parity-gap	od-od	0x9b	0xbd	-34		_errno		e:\Users\igorl\VSS\HMM\HMM2\Source\Base\RESMGR.CPP	I:\Projects\Heroes\Prog\BASE\RESMGR.CPP	0x8 0x307	0x0 0x10 0x330
calls,strings,constants	BASE/RESMGR	?ReadByte@resourceManager@@QAECXZ	both-exact	od-od	0x59	0x81	-40		_errno		e:\Users\igorl\VSS\HMM\HMM2\Source\Base\RESMGR.CPP	I:\Projects\Heroes\Prog\BASE\RESMGR.CPP	0xc 0x2a3	0x0x2 0x14 0x2bf
calls,strings,constants	BASE/RESMGR	?ReadLong@resourceManager@@QAEJXZ	parity-gap	od-od	0x5c	0x84	-40		_errno		e:\Users\igorl\VSS\HMM\HMM2\Source\Base\RESMGR.CPP	I:\Projects\Heroes\Prog\BASE\RESMGR.CPP	0xc 0x2d3	0x0x2 0x14 0x2f8
calls,strings,constants	BASE/RESMGR	?ReadWord@resourceManager@@QAEFXZ	parity-gap	od-od	0x5c	0x84	-40		_errno		e:\Users\igorl\VSS\HMM\HMM2\Source\Base\RESMGR.CPP	I:\Projects\Heroes\Prog\BASE\RESMGR.CPP	0xc 0x2bc	0x0x2 0x14 0x2dc
calls,strings,constants	BASE/SAMPLE	??0sample@@QAE@PADJJJ@Z	parity-gap	o2-od	0x210	0x181	143	_strrev strcpy	strrev		`äL ¸`ÕN	I:\Projects\Heroes\Prog\BASE\SAMPLE.CPP	0x0x6 0x1x4 0x4x2 0x6 0x8 0x34 +4	0x2x2 0x20x2 0x3 0x7 0x10 0x39 +1
calls,strings,constants	BASE/SAMPLE	??1sample@@UAE@XZ	both-exact	o2-od	0x8b	0x2c	95	?StopSample@soundManager@@?XPAVsample@@@Z memset			`äL	I:\Projects\Heroes\Prog\BASE\SAMPLE.CPP	0x0x3 0x1 0x4 0x8 0xc 0x10 +2	0x61
calls,strings,constants	BASE/SAMPLE	??_GMIDIWrap@@UAEPAXI@Z	forward	o2-od	0x2e	0x3d	-15	??1MIDIWrap@@UAE@XZ	??1resource@@UAE@XZ			I:\Projects\Heroes\Prog\BASE\SAMPLE.CPP		0x0 0x76
calls,strings,constants	BASE/SAMPLE	??_Gsample@@UAEPAXI@Z	forward	o2-od	0x2e	0x41	-19	??1sample@@UAE@XZ	??1resource@@UAE@XZ			I:\Projects\Heroes\Prog\BASE\SAMPLE.CPP		0x61
calls,strings,constants	BASE/TEXTWDGT	??_GtextWidget@@UAEPAXI@Z	forward	o2-od	0x2e	0x45	-23	??1textWidget@@UAE@XZ	??1widget@@UAE@XZ ?Dispose@resourceManager@@?XPAVresource@@@Z			I:\Projects\Heroes\Prog\BASE\TEXTWDGT.CPP		0x55
calls,strings,constants	BASE/TEXTWDGT	?Main@textWidget@@UAEHAAUtag_message@@@Z	parity-gap	o2-od	0x226	0x210	22	?SetColorIndex@textWidget@@?XF@Z ?SetText@textWidget@@?XPAD@Z				I:\Projects\Heroes\Prog\BASE\TEXTWDGT.CPPx2	0x14 0x20	0x4x9 0xffffffffx3 0x1 0x2 0x3 0xd3 +4
calls,strings,constants	BASE/TEXTWDGT	?SetText@textWidget@@QAEXPAD@Z	parity-gap	o2-od	0xae	0xa2	12	strlenx2 strcpy				I:\Projects\Heroes\Prog\BASE\TEXTWDGT.CPPx2	0x4x3 0x5 0x8 0x10 0xffff	0xffffffffx3 0x2 0x3 0xd3 0xd4
calls,strings,constants	BASE/TILESET	??_Gtileset@@UAEPAXI@Z	forward	o2-od	0x2e	0x36	-8	??1tileset@@UAE@XZ	??1resource@@UAE@XZ			I:\Projects\Heroes\Prog\BASE\TILESET.CPP		0x1c
calls,strings,constants	BASE/Textntry	??0textEntryWidget@@QAE@FFFFFPAD0F0FFFFHH@Z	open-both	o2-od	0x1ac	0x134	120	strcpy			¸PÖN À-M	I:\Projects\Heroes\Prog\BASE\Textntry.cpp	0x8x2 0x0 0x1 0x4 0x5	0x2 0x3 0x3e 0xffff
calls,strings,constants	BASE/Textntry	?Main@textEntryWidget@@UAEHAAUtag_message@@@Z	parity-gap	o2-od	0xa85	0x874	529	strcpyx13 strlenx5 ?Main@widget@@UAEHAAUtag_message@@@Z _chkstk strcat				I:\Projects\Heroes\Prog\BASE\Textntry.cppx2	0x8x15 0x1x8 0x0x3 0x6 0xff 0x100c +1	0x4x31 0xffffffffx20 0x2x15 0x3x15 0xffffx5 0x9a8x2 +3
calls,strings,constants	BASE/WINMGR	?Open@heroWindowManager@@UAEHH@Z	parity-gap	o2-od	0x12e	0xd6	88	memsetx2 strcpy			¸@ÏN		0x0x4 0xcx2 0x1 0x8 0x10 0x14 +3	0x2 0x3 0xc0 0x12c00 0x24242424
calls,strings,constants	BASE/droplist	?DeleteItem@dropListWidget@@QAEXH@Z	both-exact	o2-od	0x139	0xd5	100	memcpyx2				I:\Projects\Heroes\Prog\BASE\droplist.cppx4	0x1x2 0x4x2 0xcx2 0x0 0x18	0x2x2 0x6f 0x70 0x75 0x7b
calls,strings,constants	BASE/droplist	?Main@dropListWidget@@UAEHAAUtag_message@@@Z	parity-gap	o2-od	0x42f	0x350	223	strcpyx2 strlenx2 memcpy				I:\Projects\Heroes\Prog\BASE\droplist.cppx5	0x1x3 0x4dx3 0xc 0x30	0x8x8 0xffffffffx4 0x2x2 0x3x2 0x0 0x4 +6
calls,strings,constants	BASE/icon2bs	?IconToBitmapScale@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	open-both	o2-od	0x209	0x179	144	memset			¸xÔN		0x0x11 0x1x4 0xc 0x20 0x48 0xffffffff	0x18x3 0x8 0x24
calls,strings,constants	BASE/listbox	?DeleteItem@listBoxWidget@@QAEXH@Z	both-exact	o2-od	0x1f1	0x142	175	memcpyx2				I:\Projects\Heroes\Prog\BASE\listbox.cppx4	0x1x4 0xcx2 0x1c	0x2x2 0x0 0x9c 0x9d 0xa2 0xa9
calls,strings,constants	BASE/listbox	?Main@listBoxWidget@@UAEHAAUtag_message@@@Z	parity-gap	o2-od	0x48c	0x368	292	strcpyx2 strlenx2 memcpy				I:\Projects\Heroes\Prog\BASE\listbox.cppx5	0x1x3 0xc 0x10 0x34	0x8x8 0xffffffffx4 0x0x2 0x2x2 0x3x2 0x4 +7
calls,strings,constants	BASE/soundmgr	??0soundManager@@QAE@XZ	parity-gap	od-od	0x146	0xd7	111	(indirect)x4	memset		 ]K	`ÅL	0xffffffffx3 0x2x2 0x42x2 0x0 0x14	0x8 0xc 0x20 0x3e 0xae
calls,strings,constants	BASE/soundmgr	?AdjustMusicVolumes@soundManager@@QAEXXZ	parity-gap	od-od	0xad	0xee	-65	?SetAudiereMusicVolume@@?XHH@Z	?CDSetVolume@soundManager@@?XHH@Zx2 ?MIDISetVolume@soundManager@@?XXZ			Adjust Music Volumes 1 Adjust Music Volumes 2	0xffx3 0x1 0xc 0x4a	0x0x2 0x8
calls,strings,constants	BASE/soundmgr	?AdjustSoundVolumes@soundManager@@QAEXXZ	both-exact	od-od	0x4d	0xe8	-155	?AdjustMilesSampleVolumes@@?XXZ	?ModifySample@soundManager@@?XPAU_SAMPLE@@FJ@Zx2 ?DigitalReport@soundManager@@?JPAU_SAMPLE@@F@Z			Adjust Sound Volumes 1 Adjust Sound Volumes 2	0x8 0xff	0x0x3 0x4 0xc 0x64
calls,strings,constants	BASE/soundmgr	?Close@soundManager@@UAEXXZ	both-exact	od-od	0x28	0x96	-110	?ShutdownSoundBackends@soundManager@@?XXZ	(indirect) ?CDShutdown@soundManager@@?XXZ ?MIDIShutdown@soundManager@@?XXZ			SD1 SD2 SD3 +1		0x0 0x1 0x4
calls,strings,constants	BASE/soundmgr	?PollSound@soundManager@@QAEXXZ	parity-gap	od-od	0x227	0x38f	-360	?PlayAmbientMusic@soundManager@@?XH@Z ?SetAudiereMusicVolume@@?XHH@Z	?PlayAmbientMusic@soundManager@@?XHJH@Zx2 ?CDPoll@soundManager@@?XXZ ?CDSetVolume@soundManager@@?XHH@Z ?ProcessAssert@@?XHPADH@Z ftell			I:\Projects\Heroes\Prog\BASE\soundmgr.cpp Poll Sound 1 Poll Sound 1a +4	0xffx3 0x1c 0x4a 0x7f	0x0x2 0x4 0x7 0x18 0x61a
calls,strings,constants	BASE/soundmgr	?StopAllSamples@soundManager@@QAEXH@Z	parity-gap	od-od	0xcb	0x126	-91	?StopAllAudiereSamples@@?XXZ ?StopAllMilesSamples@@?XXZ ?StopAudiereMusic@@?XAAH@Z	(indirect)x2 ?CDStop@soundManager@@?XXZ ?DelayMilli@@?XJ@Z ?ServiceSound@soundManager@@?XXZ			SAS 1 SAS 2	0xffx3 0x1x2 0x4ex2 0x0 0xc	0x4 0x5 0x10
calls,strings,constants	BASE/soundmgr	?SwitchAmbientMusic@soundManager@@QAEXH@Z	parity-gap	od-od	0xbb	0x138	-125	?PlayAmbientMusic@soundManager@@?XH@Z	?PlayAmbientMusic@soundManager@@?XHJH@Z			Switch Ambient Music 1 Switch Ambient Music 2		0x0x3 0x1 0x4
calls,strings,constants	SOURCE/ADVMGR	?LoadRemote@advManager@@QAEXXZ	parity-gap	od-od	0x212	0x1be	84	?NormalDialog@@?XPADHHHHHHHHH@Zx2 sprintfx2			"Someone has their debug level set!
 Èñïîëüçóþòñÿ ÷èò-êîäû!
"		0x1x14 0x0x9 0x8x2	0x4 0x147
calls,strings,constants	SOURCE/ADVMGR	?ProcessDeSelect@advManager@@QAEHPAUtag_message@@PAHPAPAVmapCell@@@Z	parity-gap	od-od	0x33e	0x463	-293		?SetEnvironmentOrigin@advManager@@?XHHH@Zx4		Îäèí èëè íåñêîëüêî ãåðîåâ âñå åùå ìîãóò õîäèòü. Âû äåéñòâèòåëüíî õîòèòå çàêîí÷èòü õîä?	One or more heroes may still move, are you sure you want to end your turn?	0x64 0xfa 0x7d0	0x0x4 0x7x4 0xcx4 0x1x3 0x2 0x8
