# Generated by `homm2 audit version-delta`; do not hand-edit.
# /home/sheep/Projects/homm2/homm2-buka/build/orig/HMM2PL.exe vs /home/sheep/Projects/homm2/homm2-decomp/build/orig/HEROES2W.EXE
# CANDIDATES, not findings: VC 4.2 and VC6 disagree about inlining
# and constant chunking, so read both bodies before writing a row
# into docs/version-changes.md.
# added/removed are from Buka's side: 'added' is in 2.1 only.
channels	unit	symbol	lead	transition	buka_size	pol_size	size_delta	calls_added	calls_removed	convention	strings_buka	strings_pol	constants_added	constants_removed
calls,strings,constants	SOURCE/EVENTS	?EventSound@advManager@@QAEXHHPAUSAMPLE2@@@Z	parity-gap	od-od	0x237	0x516	-735		strcpyx3 ?LoadPlaySample@@??AUSAMPLE2@@PAD@Z ?SwitchAmbientMusic@soundManager@@?XH@Z strlen			goodluck.82m h2mine.82m pickup01.82m	0x16x2 0x4c 0xffffffff	0x8x4 0x4 0x5 0xc 0xd 0x15 +5
calls,strings,constants	SOURCE/EVENTS	?GenericSiteEvent@advManager@@QAEXPAVmapCell@@PAVhero@@@Z	parity-gap	od-od	0x6fc	0x6fe	-2	?GiveTakeArtifactStat@@?XPAVhero@@HH@Z			 Åäâà âû âîøëè â áàøíþ àëõèìèêà, êàê íà âñòðå÷ó âàì âûøåë õðîìîé è ñåäîé ìóæ÷èíà. Îí ïðîâåðèë âàøè âåùè è çàìåòèë, ÷òî ñðåäè íèõ %d ïðîêëÿòûå âåùè. Çà 750 çîëîòûõ àëõèìèê ñîãëàñåí çàáðàòü èõ ó âàñ. Âû çàïëàòèòå? Âû çàøëè â âåòõóþ õèáàðó è çàãîâîðèëè ñ ìàãîì, æèâóùèì òóò. Îí ïîâåäàë âàì î ìåñòàõ, êîòîðûå åìó äîâîäèëîñü âèäåòü. Ýòî ìîæåò ïðèãîäèòüñÿ âàì â âàøèõ ïóòåøåñòâèÿõ. Âû ïðèêàçàëè ñâîåé êîìàíäå çàëèòü óøè âîñêîì, ïðåæäå ÷åì ïîäïëûòü ê ñèðåíàì, ÷òîáû ïîñëóøàòü èõ ïåíèå, êîòîðîå çàïðîñòî ìîæåò ïîãóáèòü âñåõ â ìîðñêîé ïó÷èíå. +9	An eerie wailing song emanates from the sirens perched upon the rocks.  Many of your crew fall under its spell, and dive into the water where they drown.  You are now wiser for the visit, and gain %d experience. As the sirens sing their eerie song, your small, determined army manages to overcome the urge to dive headlong into the sea. As you enter the Alchemist's Tower, a hobbled, graying man in a brown cloak makes his way towards you.  He checks your pack, and sees that you have %d cursed items.  For 750 gold,  the alchemist will remove them for you.  Do you pay? +9	0x1x9 0xffffx3 0xcx2 0x44x2 0x0 0x1a +6	0x2 0x10 0x20 0x40 0x54 0x80 +1
calls,strings,constants	SOURCE/FINDPATH	??1searchArray@@QAE@XZ	both-exact	o2-od	0x13	0x2c	-25	?Close@searchArray@@?XXZ				I:\Projects\Heroes\Prog\SOURCE\FINDPATH.CPP		0x0
calls,strings,constants	SOURCE/FINDPATH	?Init@searchArray@@QAEXXZ	parity-gap	o2-od	0x3c	0x56	-26	?Close@searchArray@@?XXZ				I:\Projects\Heroes\Prog\SOURCE\FINDPATH.CPPx2	0x4 0x8 0x9	0x0 0x2
calls,strings,constants	SOURCE/GAME	?LoadGame@game@@QAEXPADHH@Z	parity-gap	od-od	0xa79	0xc27	-430	_strnicmpx2	strnicmpx2			I:\Projects\Heroes\Prog\SOURCE\GAME.CPPx3	0x1x9 0x4x3 0x11bx2 0x7 0x1c 0xfa +1	0x3x4 0x2x2 0xcb 0xcc 0xd5 0x248 +1
calls,strings,constants	SOURCE/GAME	?SaveGame@game@@QAEHPADHC@Z	open-both	od-od	0xb5a	0xbc4	-106	_strnicmpx3	strnicmpx3		Àâòîñîõðàíåíèå Èãðîê Âûøåë	I:\Projects\Heroes\Prog\SOURCE\GAME.CPPx2 AUTOSAVE PLYREXIT	0x1x5 0x4x2 0xfa 0x11b 0x440	0x2 0x3 0xa 0xed 0x438
calls,strings,constants	SOURCE/GAME	?SetupNewRumour@game@@QAEXXZ	parity-gap	od-od	0x64d	0x79f	-338	strcpy			%s çàðàáàòûâàåò áîëüøå âñåõ äåíåã. %s íàøåë áîëüøå âñåõ àðòåôàêòîâ. %s íàøåë áîëüøå âñåõ îáåëèñêîâ. +4	%s earns the most gold. %s has found the most artifacts. %s has found the most obelisks. +4	0x1x4 0x15x4 0x8x3 0x80000007x2 0x9c 0x63aa	0x108
calls,strings,constants	SOURCE/GAME	?ViewArmy@game@@QAEXHHHHPAVtown@@HHHPAVhero@@PAVarmy@@PAVarmyGroup@@H@Z	parity-gap	od-od	0xd08	0xc86	130		sprintf		¸hÃN Îñòàëîñü çäîðîâüÿ: 	I:\Projects\Heroes\Prog\SOURCE\GAME.CPPx2 Hit Points Left:  monh%04d.icn	0xffx8 0x1x6 0xffffffffx3 0x1ax2 0x2 0x4 +9	0x0x2 0x40 0x5d 0x7e 0x93 0xd4 +1
calls,strings,constants	SOURCE/GAME	?ViewSpellsHandler@@YIHAAUtag_message@@@Z	open-both	od-od	0x5c9	0x692	-201	?MoveWindow@heroWindow@@?XHH@Z ?UpdateSpellWidgets@game@@?XXZ			Çàêëèíàíèå ñòîèò %d î÷. ìàãèè. Ó âàñ òîëüêî %d î÷. ìàãèè. Âû íå ìîæåòå íàïðàâèòü çàêëèíàíèå.	That spell costs %d mana.  You only have %d mana, so you can't cast the spell.	0x0x2 0x200x2 0x7800	0x2x2 0x4x2 0x64x2 0x5050505x2 0x146e905
calls,strings,constants	SOURCE/KB	?HandleAppSpecificMenuCommands@@YIHH@Z	open-both	od-od	0x7b7	0xa18	-609	?WritePrefs@@?XXZ			Âû äåéñòâèòåëüíî õîòèòå çàãðóçèòü íîâóþ èãðó? (Ýòà èãðà áóäåò ïîòåðÿíà) Âû äåéñòâèòåëüíî õîòèòå íà÷àòü ñíà÷àëà?  (Ýòà èãðà áóäåò ïîòåðÿíà)	Are you sure you want to load a new game?  (Your current game will be lost) Are you sure you want to restart?  (Your current game will be lost)	0x1x4 0x62x3 0xfax2 0x0 0x482 0x5eaa +2	0x2d2d2d2dx11 0x3x3 0x6 0xa 0xd 0x7d +10
calls,strings,constants	SOURCE/KB	?SetupCDRom@@YIXXZ	parity-gap	od-od	0x12a	0x148	-30	?ShutdownSoundBackends@soundManager@@?XXZx2			Îøèáêà çàãðóçêèx2  Íåò äîñòóïà ê CD-ROM. Áåç äîñòóïà ê CD-ROM Ãåðîè 2 áóäóò ïîääåðæèâàòü òîëüêî ñåòåâóþ èãðó â ðåæèìå ãîñòÿ. Åñëè ó âàñ åñòü äèñê, çàêðîéòå ýòó ïðîãðàììó è âñòàâüòå äèñê â ïðèâîä è ïîïðîáóéòå çàïóñòèòü èãðó åùå ðàç. Íå ìîãó íàéòè ôàéëû äàííûõ Ãåðîåâ II.  Ïîæàëóéñòà, çàïóñòèòå ïðîãðàììó óñòàíîâêè. +2	Startup Errorx2 The Heroes 2 Expansion CD-ROM is not in the drive.  Without a Heroes 2 Expansion CD-ROM you will only be able to play as the guest in a multi-player game.  If you have the CD, then exit the program, put the CD in, and try again. Unable to access CD-ROM Drive.  Without a CD-ROM drive and a Heroes 2 Expansion CD-ROM you will only be able to play as the guest in a multi-player game. +2	0x8	0x4x3
calls,strings,constants	SOURCE/KB	?ShowCongrats@@YIXH@Z	parity-gap	od-od	0x3b2	0x303	175	?PlayAmbientMusic@soundManager@@?XH@Z	?PlayAmbientMusic@soundManager@@?XHJH@Z		×èòåð!!!	I:\Projects\Heroes\Prog\SOURCE\KB.CPPx2 Cheater!!!	0xffx8 0x4x2 0x20 0x58 0x61 0x7a +3	0x0 0x1 0x9 0x4e 0x330
calls,strings,constants	SOURCE/KB	?ShutDown@@YIXPAD@Z	parity-gap	od-od	0x1d9	0x214	-59		?CDStop@soundManager@@?XXZ		Íåïðåäâèäåííîå ïðåðûâàíèå ïðîãðàììû Ïîêà!	Bye! I:\Projects\Heroes\Prog\SOURCE\KB.CPP Unexpected Program Termination	0x308	0x47 0x304
calls,strings,constants	SOURCE/KB	?oldmain@@YIHXZ	open-both	od-od	0x148c	0x16c0	-564	?PlayAmbientMusic@soundManager@@?XH@Zx3 ?PlaySmacker@@?HH@Zx2	?PlayAmbientMusic@soundManager@@?XHJH@Zx3		Íå ìîãó äîáàâèòü ìåíåäæåðà!x3 %s èãðîê ¸¸ÄN +6	Can't add manager!x3 %s player Archibald +5	0x1x16 0xffx9 0x15x8 0x22x5 0xcx2 0x1c +11	0x5x5 0x2x4 0x637dx3 0x0x2 0x3x2 0x4x2 +4
calls,strings,constants	SOURCE/Newgame	?GetMap@game@@QAEXXZ	parity-gap	od-od	0x1d2	0x1d5	-3	strcmpi	stricmp		Êàê ìèíèìóì ó îäíîãî èãðîêà íåò Ãåðîåâ II: Öåíà Âåðíîñòè. Âû ìîæåòå âûáðàòü êàðòó òîëüêî ñòàíäàðòíîãî ôîðìàòà Ãåðîåâ II.	At least one player does not have the Heroes II Expansion set.  You will only be able to choose from original Heroes II games.	0x0 0x1 0xffffffff	
calls,strings,constants	SOURCE/Newgame	?NewGame@game@@QAEHXZ	open-both	od-od	0xa71	0xaca	-89	strcmpix2	stricmpx2		¸0ÆN	I:\Projects\Heroes\Prog\SOURCE\Newgame.cppx6	0x4x7 0xffffffffx5 0x1x4 0x0 0x2 0x3 +1	0x2d 0x30 0x31 0x11e 0x120 0x121 +1
calls,strings,constants	SOURCE/Newgame	?NewGameHandler@@YIHAAUtag_message@@@Z	open-both	od-od	0xd15	0xf46	-561	?KBTickCount@@?JXZ			Äâå âûáðàííûõ ïîçèöèè íå ìîãóò ïîìåíÿòüñÿ ìåñòàìè. Ñåðâåð ïðåêðàòèë èãðó.	The host has canceled the game. The two positions selected can not be swapped.	0x1x7 0xax3 0x22 0x200	0x5050505x8 0xcx5 0x4x4 0x2 0x5 0x18 +2
calls,strings,constants	SOURCE/RECRUIT	?SetupRecruitWin@@YIXPAVheroWindow@@HHHHH@Z	parity-gap	od-od	0x1f2	0x18c	102	?GetMonsterPluralName@@?PADH@Z	?GetMonsterName@@?PADH@Z		Äîñòóïíî:  Íàíÿòü	Available:  Recruit	0xffx7 0x20 0x41 0x48 0x5a 0x78 +3	0x60
calls,strings,constants	SOURCE/REQUEST	?Main@fileRequester@@UAEHAAUtag_message@@@Z	open-both	od-od	0x102a	0x11ae	-388	strcmpix4	stricmpx4		Âûáåðèòå èç ñïèñêà èëè íàæìèòå êíîïêó îòìåíû. Âûáðàííàÿ âàìè èãðà ðàññ÷èòàíà òîëüêî íà %d ÷åëîâåê.  À âàì íóæíà êàðòà, êàê ìèíèìóì íà %d ÷åëîâåê. Âûáðàííàÿ èãðà íà÷íåòñÿ ñ %d èãðîêàìè-ëþäüìè. Ìîæíî ëè êîìïüþòåðó âçÿòü ïîä ñâîå óïðàâëåíèå îñòàâøèåñÿ %d ìåñò ëþäåé? +2	No maps exist for %d human player at that size. No maps exist for %d human players at that size. Please make a selection from the list, or press cancel. +2	0x1x14 0x15fx4 0x5x3 0x57x2 0x64x2 0xffx2 +9	0x4x46 0x3x4 0xcx4 0x2x2 0x0 0x7 +6
calls,strings,constants	SOURCE/REQUEST	?Open@fileRequester@@UAEHH@Z	parity-gap	od-od	0x44b	0x466	-27	strcmpix3	stricmpx3		¸(ÉN Çàãðóçèòü ôàéë: ÍÎÂÀß ÈÃÐÀ +1	File to Load: File to Save: NEWGAME	0x1x5 0x15fx2 0xffffffffx2 0x0 0x54 0xff	0x3x2 0x44
calls,strings,constants	SOURCE/REQUEST	?ShowThisMapGame@@YIHPAD@Z	parity-gap	od-od	0x1a	0xbb	-161		?CheckSumIsDemoOK@@?HPAD@Z strcpy stricmp			BROKENA		0x0x3 0x8x3 0x2e
calls,strings,constants	SOURCE/SETUP	?SetupNetworkGame2@game@@QAEHXZ	parity-gap	od-od	0x281	0x236	75	(indirect)			DPLAYX.DLL ¸øÉN		0x0x3 0x1x2 0x2 0x3 0x4 0x5 +4	0x16 0xcc
calls,strings,constants	SOURCE/SPELLS	?RippleCreature@combatManager@@QAEXHHH@Z	parity-gap	od-od	0x4ed	0x592	-165	$alt_CIsin	sin			I:\Projects\Heroes\Prog\SOURCE\SPELLS.CPPx4	0x1x11 0x4x3 0x50x2 0x5c 0x482 0x5eaa	0x3x2 0x6 0x2c 0x2d 0x54 0x8e +2
calls,strings,constants	SOURCE/TOWNMGR	?Main@townManager@@UAEHAAUtag_message@@@Z	open-both	od-od	0x1739	0x1830	-247		(indirect)		Íåëüçÿ ïîñòðîèòü åùå îäèí êîðàáëü. Íåëüçÿ ïîñòðîèòü êîðàáëü! Ïðåæäå âàì ñëåäóåò êóïèòü âîëøåáíóþ êíèãó â ãèëüäèè ìàãîâ, íî ñåé÷àñ ó âàñ íåò ìåñòà äëÿ íåå â èíâåíòàðå. Ïîïðîáóéòå îòäàòü îäèí èç àðòåôàêòîâ äðóãîìó ãåðîþ. +3	Can't create boat! Cannot build another boat. This town may not be upgraded to a castle. +3	0x1x11 0xffffffffx7 0x11bx6 0xfax5 0x0x4 0x64x2 +13	0x2x6 0x3x3 0x27c4x2 0x41 0x250 0xb53 +1
calls,strings,constants	SOURCE/TOWNMGR	?SetCommandAndText@townManager@@QAEXAAUtag_message@@@Z	parity-gap	od-od	0x5fe	0x5c5	57	sprintf			%s: %d, %s: %d, %s: %d Äåíü Ìåñÿö +1		0x1 0x6 0xc 0x20 0x65 0x74 +1	0x75 0x79
calls,strings,constants	SOURCE/X_CAMPGN	?ShowInfo@ExpCampaign@@QAEXHH@Z	parity-gap	od-od	0x34b	0x33f	12		?BroadcastMessage@heroWindow@@?HAAUtag_message@@@Z		¸àÎN Âû äåéñòâèòåëüíî õîòèòå íà÷àòü ñíà÷àëà ñöåíàðèé?	Are you sure you want to restart this scenario?	0x1x3 0xffffffffx3 0x2 0x58	0x6x2 0x44 0x386
calls,strings,constants	SOURCE/kbwin	?AppWndProc@@YGJPAXIIJ@Z	parity-gap	od-od	0x503	0x57e	-123		?CDPlay@soundManager@@?XHHHH@Z ?UpdateTimers@@?XK@Z		Âû äåéñòâèòåëüíî õîòèòå âûéòè?	Are you sure you want to quit?	0x1cx7 0xffffx6 0x20000000x4 0x1000000x3 0x14x2 0x1 +6	0x3x6 0x21x3 0x0x2 0x4x2 0xfx2 0xffffffffx2 +6
calls,strings,constants	SOURCE/tradpost	?UpdateTradingPost@@YIXH@Z	parity-gap	od-od	0x639	0x596	163	strcpyx2			Ðûíîêx6 åä.x4 í/ä	Marketplacex3 Trading Postx3 unitx2 +2	0x20x4 0x1x3 0x8x2 0x41x2 0x48x2 0x5ax2 +5	0x15 0x3c
calls,convention,constants	BASE/Misc	?FadeIn@@YIXH@Z	open-both	o2-od	0x1af	0xea	197	?UpdatePalette@@?XPAC@Z memset		?UpdatePalette@@YIXPAC@Z->?UpdatePalette@@YAXPAC@Z			0x0x11 0x1x2 0x4x2 0xc 0x1c 0x34 +2	0x8x2 0x3 0xc0
calls,convention,constants	BASE/Misc	?FadeTo@@YIXPAE0H@Z	parity-gap	o2-od	0x19c	0xf8	164	absx2 memcpy		?UpdatePalette@@YIXPAC@Z->?UpdatePalette@@YAXPAC@Z			0x0x4 0x4x4 0x1x3 0xc 0x32 0x300 +1	0x310x2 0xc0
calls,convention,constants	BASE/Misc	?SetPalette@@YIXPACH@Z	both-exact	o2-od	0x5b	0x3d	30	memcpyx2		?UpdatePalette@@YIXPAC@Z->?UpdatePalette@@YAXPAC@Z			0xcx2 0x0 0x4 0x8 0x60 0x282 +1	0x18 0xc0
calls,convention,constants	BASE/WINMGR	?CycleColors@@YIXH@Z	parity-gap	o2-od	0x3ff	0x3a3	92	memcpyx16		?UpdatePalette@@YIXPAC@Z->?UpdatePalette@@YAXPAC@Z			0x3x19 0xcx14 0x0x8 0x1x6 0x8x3 0x80000007x2 +5	0x7 0x15 0x144 0x14a
calls,constants	BASE/BASEMGR	??0baseManager@@QAE@XZ	both-exact	o2-od	0x5d	0x47	22	strcpy					0x0x3 0x8 0x14 0xffffffff	0x2 0x3
calls,constants	BASE/BITMAP	?CopyTo@bitmap@@QAEXPAV1@HHHHHH@Z	both-exact	o2-od	0xb6	0xcb	-21	memcpyx2					0xcx2 0x280x2 0x0 0x1 0x8	0x7x4 0x2x2 0x3x2 0x4x2
calls,constants	BASE/BITMAP	?CopyToCareful@bitmap@@QAEXPAV1@HHHHHH@Z	both-exact	o2-od	0x77	0x65	18	memcpy					0x0 0x1 0x8 0xc	0x2 0x3
calls,constants	BASE/BITMAP	?DrawToBufferCareful@bitmap@@QAEXFF@Z	parity-gap	o2-od	0x154	0xff	85	?DrawToBuffer@bitmap@@?XFF@Z	PollSoundx2 ?BlitBitmap@@?XPAVbitmap@@HHHH0HH@Z				0x0x2 0x14	0x8x4
calls,constants	BASE/BITMAP	?GrabBitmapCareful@bitmap@@QAEXPAV1@FF@Z	parity-gap	o2-od	0x12f	0xf0	63	?GrabBitmap@bitmap@@?XPAV1@FF@Z	?BlitBitmap@@?XPAVbitmap@@HHHH0HH@Z				0x14	0xcx4
calls,constants	BASE/BITMAP	?GrabScreen@bitmap@@QAEXFF@Z	both-exact	o2-od	0x29	0x2d	-4	?GrabBitmap@bitmap@@?XPAV1@FF@Z	?BlitBitmap@@?XPAVbitmap@@HHHH0HH@Z					0x0x2
calls	BASE/BORDER	??_Gborder@@UAEPAXI@Z	forward	o2-od	0x2e	0x4d	-31	??1border@@UAE@XZ	?Dispose@resourceManager@@?XPAVresource@@@Zx2 ??1widget@@UAE@XZ					
calls	BASE/BUTTON	??_Gbutton@@UAEPAXI@Z	forward	o2-od	0x2e	0x36	-8	??1button@@UAE@XZ	??1widget@@UAE@XZ ?Dispose@resourceManager@@?XPAVresource@@@Z					
calls,constants	BASE/BUTTON	?Main@button@@UAEHAAUtag_message@@@Z	open-both	o2-od	0x4d8	0x595	-189	?Deselect@button@@?FAAUtag_message@@@Zx5	(indirect)x5 ?UpdateScreenRegion@heroWindowManager@@?XHHHH@Zx5				0x30	0x1cx18 0x4x16 0x2x6 0x0x5 0xdx5 0x200x5 +1
calls,constants	BASE/Bzip	?endsInBz@@YIHPAD@Z	both-exact	od-od	0x66	0x83	-29	strlen					0x0 0x4 0xc	0x8 0xffffffff
calls,constants	BASE/Bzip	?uncompress@@YIXPAD@Z	both-exact	od-od	0xc2	0x110	-78	strcpyx2 strlen					0x8x2 0x4 0x14	0xffffffffx3 0x2x2 0x3x2 0x1c
calls	BASE/DIMMER	??_GdimmerWidget@@UAEPAXI@Z	forward	o2-od	0x2e	0x25	9	??1dimmerWidget@@UAE@XZ	??1widget@@UAE@XZ					
calls	BASE/DIMMER	?Draw@dimmerWidget@@UAEXXZ	both-exact	o2-od	0x13	0x5	14	?Dim@widget@@?XXZ						
calls	BASE/EXEC	?Terminate@executive@@QAEXXZ	both-exact	o2-od	0x15	0xa	11	?ShutDown@@?XPAD@Z						
calls,constants	BASE/FONT	?DrawBoundedString@font@@QAEXPADHHHHHH@Z	open-both	od-od	0x1f8	0x313	-283	?ExtractLine@font@@?XPAD0PAHH1E@Zx2 strlenx2 strcpy	?GetCharacterWidth@font@@?HE@Zx3				0x4x4 0x1x3 0x8 0x48	0x0x2 0x20x2 0xa 0x4c 0xffffffff
calls,constants	BASE/FONT	?DrawStringExecute@font@@IAEXPADHHHHHHH@Z	parity-gap	od-od	0x222	0x24a	-40	?RemapCyrillicCharacter@@?HH@Z					0x7fx3 0x0 0x1 0x20 0xa8 0xb8 +1	0x5fx2
calls,constants	BASE/FONT	?GetCharacterWidth@font@@QAEHE@Z	both-exact	od-od	0xa8	0xaf	-7	?RemapCyrillicCharacter@@?HH@Z					0x7fx3 0x8 0xd 0x20 0x2e 0xa8 +3	0x5fx2 0x4 0x1f
calls,constants	BASE/FONT	?LineLength@font@@QAEHPADH@Z	parity-gap	od-od	0xc7	0x1b3	-236	strlenx2 ?ExtractLine@font@@?XPAD0PAHH1E@Z	?GetCharacterWidth@font@@?HE@Zx3				0x4x4 0x1x2 0x30	0x0x3 0x20x2 0xa 0x38 0xffffffff
calls,constants	BASE/FONT	?LineWidth@font@@QAEHPAD@Z	parity-gap	od-od	0x8b	0xc4	-57	strlen					0x1 0x4 0x14	0x0x4 0x2c 0xffffffff
calls,constants	BASE/ICON	?CombatClipDrawToBuffer@icon@@QAEHHHHPAUSLimitData@@HHPAEPAC@Z	open-both	o2-od	0x3fc	0x2bb	321	?FlipIconToBitmap@@?XPAVicon@@PAVbitmap@@HHHHHHHHH@Z					0x0x17 0xdx8 0x1x7 0x1bcx2 0x280x2	0x20x2
calls	BASE/ICONWDGT	??_GiconWidget@@UAEPAXI@Z	forward	o2-od	0x2e	0x36	-8	??1iconWidget@@UAE@XZ	??1widget@@UAE@XZ ?Dispose@resourceManager@@?XPAVresource@@@Z					
calls,constants	BASE/INPUTMGR	?AsciiConvert@inputManager@@QAEXAAUtag_message@@@Z	parity-gap	o2-od	0x1f3	0x1cb	40	?TranslatePolishInputCharacter@@?XAAUtag_message@@@Z					0x3 0x8 0xc	0x4x19 0x14x16 0x4cx7 0xd 0xf 0x10 +1
calls,constants	BASE/INPUTMGR	?CheckChangeCursor@@YIXHHH@Z	parity-gap	o2-od	0xfe	0xe4	26	?SetColorMice@mouseManager@@?XH@Z					0x0x10 0x1cx2 0x8	
calls,constants	BASE/INPUTMGR	?MouseMessageHandler@@YIHPAXIIJ@Z	open-both	o2-od	0x383	0x36c	23	?CheckChangeCursor@@?XHHH@Z	?SetColorMice@mouseManager@@?XH@Z ?SetPointer@mouseManager@@?XH@Z				0x0x7 0x1cx3 0x40x2 0x8000003fx2 0x14 0x200 +3	0x3x3 0x8x3 0x1x2 0x2x2 0x3fx2 0x736x2 +5
calls,constants	BASE/INPUTMGR	?Open@inputManager@@UAEHH@Z	both-exact	o2-od	0x92	0x78	26	memset strcpy					0x0x4 0x8 0xc 0x14 0x36 0x700	0x2 0x3 0x1c0 0xffffffff
calls	BASE/INPUTMGR	?SetKeyCodeType@inputManager@@QAEXH@Z	parity-gap	o2-od	0x21	0x1b	6	?Flush@inputManager@@?XXZ						
calls,constants	BASE/Icon2b	?IconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	open-both	o2-od	0x750	0x4ed	611	memcpyx5 memsetx5					0x1x13 0xcx10 0x0x6 0x3fx2 0x8 0xd	0x10x4 0x2x3 0x3
calls,constants	BASE/Iconf2b	?FlipIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	open-both	o2-od	0x8a2	0x4f1	945	memsetx5					0x1x34 0x0x6 0xcx5 0x3fx2 0xd	0x2x3 0x10x3 0x8
calls,constants	BASE/Iconm2b	?MonoIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	open-both	o2-od	0x2e8	0x266	130	memsetx5					0xcx5 0x0x3 0x1x3 0x8 0xd 0x7f	0x10x4 0x4x2 0x2 0x3
calls,constants	BASE/Iconmf2b	?FlipMonoIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	open-both	o2-od	0x32f	0x212	285	memsetx5					0x1x10 0xcx5 0x0x3 0x8 0xd 0x7f	0x10x3 0x4x2 0x2 0x3
calls,constants	BASE/MOUSEMGR	??0mouseManager@@QAE@XZ	parity-gap	o2-od	0x12e	0xd9	85	strcpy					0x0x9 0x8x2 0x1 0x14	0x2x4 0x60x3 0x3 0xc0 0xffffffff
calls,constants	BASE/MOUSEMGR	?NewUpdate@mouseManager@@QAEXH@Z	parity-gap	o2-od	0x5b8	0x47a	318	?CheckUpdateMousePos@mouseManager@@?XXZ	(indirect)x2 ?CheckChangeCursor@@?XHHH@Z				0x0x13 0x1x6 0x27fx3 0x1dfx2	0x5 0x7
calls,constants	BASE/MOUSEMGR	?ReallyHidePointer@mouseManager@@QAEXXZ	parity-gap	o2-od	0x26	0x2c	-6	?HideColorPointer@mouseManager@@?XXZ	?NewUpdate@mouseManager@@?XH@Z				0x0	0x1x2
calls,constants	BASE/MOUSEMGR	?ReallyShowPointer@mouseManager@@QAEXXZ	parity-gap	o2-od	0x26	0xb9	-147	?ShowColorPointer@mouseManager@@?XXZ	(indirect)x2 ?CheckChangeCursor@@?XHHH@Z ?NewUpdate@mouseManager@@?XH@Z					0x1 0x5 0x7
calls,constants	BASE/MOUSEMGR	?SetColorMice@mouseManager@@QAEXH@Z	parity-gap	o2-od	0x106	0x191	-139	?ReallyHidePointer@mouseManager@@?XXZ ?ReallyShowPointer@mouseManager@@?XXZ	(indirect)x4 ?NewUpdate@mouseManager@@?XH@Zx2 ?CheckChangeCursor@@?XHHH@Z				0x18	0x0x2 0x1x2 0x5 0x7 0x56
calls,constants	BASE/MOUSEMGR	?ShowColorPointer@mouseManager@@QAEXXZ	both-exact	o2-od	0x66	0x98	-50	?CheckUpdateMousePos@mouseManager@@?XXZ	(indirect)x2 ?CheckChangeCursor@@?XHHH@Z				0x1x3 0x0	0x5 0x7
calls,constants	BASE/Midi	?MIDIIsPlaying@soundManager@@QAEHXZ	parity-gap	o2-od	0x56	0x46	16	?GetMusicFlagA@@?EXZ					0x0x3 0xff	0x1
calls,constants	BASE/Midi	?MIDISetVolume@soundManager@@QAEXXZ	parity-gap	o2-od	0x8f	0x68	39	?GetMusicFlagA@@?EXZ					0x0 0x8 0xa 0xff	0x7x2
calls,constants	BASE/Midi	?MIDIStop@soundManager@@QAEXXZ	parity-gap	o2-od	0xe7	0x108	-33	?GetMusicFlagA@@?EXZ ?MIDIIsPlaying@soundManager@@?HXZ	(indirect)				0x0x3 0xffx2 0xffffffff	0x1x2 0x2 0x4
calls,constants	BASE/Misc	?AbsAiPrint@@YIXPAD@Z	both-exact	o2-od	0x30	0x7a	-74	?AiPrint@@?XPAD@Z	?BlitBitmapToScreen@@?XPAVbitmap@@HHHHHH@Z ?DrawBoundedString@font@@?XPADHHHHHH@Z ?FillBitmapArea@@?XPAVbitmap@@HHHHH@Z				0x8	0x0x4 0x1ccx3 0x280x3 0x14x2 0x1 0x10 +1
calls,constants	BASE/Misc	?DataEntryWindowHandler@@YIHAAUtag_message@@@Z	parity-gap	o2-od	0x1fa	0x173	135	memset strlen					0x0x3 0x1x3 0x4 0xa 0xc 0x14	0x2 0x3 0xffffffff
calls,constants	BASE/Misc	?FindLastToken@@YIPADPADD@Z	parity-gap	o2-od	0x56	0x2b	43	strlen					0x1x2 0x0 0x4 0x10	0x2 0xffffffff
calls,constants	BASE/Misc	?FindStringInString@@YIPADPAD0@Z	parity-gap	o2-od	0x75	0x66	15	strlenx2					0x1x2 0x0 0x14	0xffffffffx2 0x4
calls,constants	BASE/Misc	?FindToken@@YIPADPADD@Z	open-both	o2-od	0x56	0x31	37	strlen					0x0 0x1 0x4 0x10	0xffffffff
calls,constants	BASE/Misc	?LogStr@@YIXPAD@Z	open-both	o2-od	0x9a	0x9e	-4	strcat strcpy					0x8x2 0x0 0x1fc	0x1f4x2 0xffffffffx2 0x2 0x3
calls,constants	BASE/Misc	?LogTruncate@@YIXXZ	forward	o2-od	0x91	0xa6	-21	strcat strcpy strlen					0x8x2 0x4 0x1f8	0xffffffffx3 0x1f4x2 0x2 0x3
calls,constants	BASE/Misc	?MAKEFILEID@@YIKPAD@Z	parity-gap	o2-od	0x10a	0x48	194	strcpy strlen					0x0x3 0x1x2 0x4 0x8 0x174	0x2 0xffffffff
calls,constants	BASE/Misc	?ReadPrefs@@YIXXZ	both-exact	o2-od	0xa8	0xa1	7	memset					0x0 0xc 0x19d	0x67
