unit	name	pol_rva	gold_va	size	moved	shape	witness	verdict	remap
SOURCE/PHILAI	?ChooseToFightForArtifact@philAI@@QAEHHHH@Z	0x42677	0x4b5210	250	8	multi-cycle 5+3	1.0==2.1 (2.0 is the outlier)	reorder-reachable	-0x4->-0x8 -0x8->-0x14 -0x10->-0x18 -0x14->-0x1c -0x18->-0x20 -0x1c->-0x24 -0x20->-0x10 -0x24->-0x4
SOURCE/PHILAI	?BuildHero@philAI@@QAEXPAVtown@@H@Z	0x428b8	0x4b5470	808	3	3-cycle	n/a	identifiers-differ	-0x4->-0x8 -0x8->-0xc -0xc->-0x4
SOURCE/PHILAI	?CombatMonsterEvent@philAI@@QAEHPAVhero@@HPAHPAVmapCell@@@Z	0x43007	0x4b5bc0	356	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	reorder-reachable	-0x4->-0xc -0xc->-0x4
SOURCE/PHILAI	?TownEvent@philAI@@QAEXPAVmapCell@@PAVhero@@HH@Z	0x43980	0x4b6560	551	5	multi-cycle 3+2	n/a	unproven	-0x4->-0x10 -0x8->-0xc -0xc->-0x14 -0x10->-0x4 -0x14->-0x8
SOURCE/PHILAI	?ComputeUpgradeValue@philAI@@QAEHHH@Z	0x43ba7	0x4b6790	173	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	reorder-reachable	-0x4->-0x8 -0x8->-0x4
SOURCE/PHILAI	?EvaluateMineEvent@philAI@@QAEHHHHPAH@Z	0x4661e	0x4b91e0	778	9	multi-cycle 5+4	n/a	identifiers-differ	-0x4->-0x10 -0x8->-0x18 -0xc->-0x8 -0x10->-0x1c -0x14->-0x20 -0x18->-0x24 -0x1c->-0x14 -0x20->-0x4 -0x24->-0xc
SOURCE/PHILAI	?EvaluateHeroEvent@philAI@@QAEHHHHHPAH@Z	0x46c66	0x4b9820	1451	10	reshuffle (uses unreferenced slots)	n/a	unproven	-0x4->-0xc -0x8->-0x10 -0xc->-0x14 -0x10->-0x18 -0x14->-0x1c -0x1c->-0x8 -0x20->-0x2c -0x24->-0x20 -0x2c->-0x30 -0x30->-0x24
SOURCE/PHILAI	?EvaluateTownEvent@philAI@@QAEHHHHHPAH@Z	0x47211	0x4b9dd0	1155	8	multi-cycle 5+3	n/a	unproven	-0x4->-0x10 -0x8->-0x14 -0xc->-0x18 -0x10->-0x1c -0x14->-0x20 -0x18->-0x4 -0x1c->-0xc -0x20->-0x8
SOURCE/RECRUIT	?SetupRecruitWin@@YIXPAVheroWindow@@HHHHH@Z	0x8b310	0x4080f0	396	6	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x18 -0x14->-0x28 -0x18->-0x2c -0x1c->-0x30 -0x44->-0x58 -0x58->-0x14
SOURCE/RECRUIT	?Main@recruitUnit@@UAEHAAUtag_message@@@Z	0x8b8f0	0x4086f0	1051	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0x8 -0x8->-0x4
SOURCE/REMOTE	?calc_crc_long@@YIHPAEH@Z	0xa3967	0x46dc60	141	3	3-cycle	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x8->-0xc -0xc->-0x10 -0x10->-0x8
SOURCE/REMOTE	?PollRemote@@YIXXZ	0xa41ec	0x46e500	1780	2	swap (2-cycle)	n/a	unproven	-0x4->-0x8 -0x8->-0x4
SOURCE/REMOTE	?TransmitAndWait@@YIHPADHHCCPAPAD@Z	0xa48e0	0x46ec00	355	4	4-cycle	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0x10 -0x8->-0x4 -0xc->-0x8 -0x10->-0xc
SOURCE/REQUEST	?Open@fileRequester@@UAEHH@Z	0x8d5e1	0x40c100	1126	6	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x8->-0x10 -0x18->-0x20 -0x1c->-0x24 -0x20->-0x28 -0x24->-0xc -0x28->-0x8
SOURCE/SETUP	?PickLoadGame@game@@QAEHXZ	0x123cc	0x4bb840	682	3	reshuffle (uses unreferenced slots)	n/a	unproven	-0x8->-0x14 -0xc->-0x18 -0x18->-0x10
SOURCE/SPELLAI	?DoSpellAI@combatManager@@QAEHHH@Z	0x867c0	0x465a70	633	6	multi-cycle 4+2	n/a	unproven	-0x4->-0x14 -0x8->-0x18 -0xc->-0x10 -0x10->-0xc -0x14->-0x8 -0x18->-0x4
SOURCE/SPELLAI	?EffectSpellResurrect@combatManager@@QAEXPAHHH@Z	0x88be2	0x467ed0	374	4	reshuffle (uses unreferenced slots)	n/a	unproven	-0x4->-0x14 -0x8->-0xc -0x10->-0x4 -0x14->-0x8
SOURCE/SPELLS	?FindResurrectArmyIndex@combatManager@@QAEHHHH@Z	0x20d96	0x49dc70	741	2	swap (2-cycle)	n/a	unproven	-0x4->-0x8 -0x8->-0x4
SOURCE/SPELLS	?ElementalStorm@combatManager@@QAEXXZ	0x2414e	0x4a1070	763	8	multi-cycle 4+4	n/a	unproven	-0x4->-0x10 -0x8->-0x28 -0xc->-0x20 -0x10->-0xc -0x1c->-0x24 -0x20->-0x4 -0x24->-0x8 -0x28->-0x1c
SOURCE/SPELLS	?GetNextChainLightningTarget@combatManager@@QAEHPAVarmy@@H@Z	0x266ce	0x4a3610	396	9	multi-cycle 4+3+2	n/a	unproven	-0x4->-0x20 -0x8->-0x10 -0xc->-0x1c -0x10->-0x8 -0x14->-0xc -0x18->-0x4 -0x1c->-0x28 -0x20->-0x18 -0x28->-0x14
SOURCE/SPELLS	?ChainLightning@combatManager@@QAEXHH@Z	0x2685a	0x4a37a0	865	16	reshuffle (uses unreferenced slots)	n/a	identifiers-differ	-0x4->-0x44 -0x8->-0x38 -0xc->-0x18 -0x10->-0x3c -0x14->-0x40 -0x18->-0xc -0x1c->-0x14 -0x20->-0x10 -0x24->-0x8 -0x28->-0x4 -0x30->-0x24 -0x34->-0x2c -0x38->-0x20 -0x40->-0x28 -0x48->-0x30 -0x4c->-0x34
SOURCE/SPELLS	?VaporizeCreature@combatManager@@QAEXHH@Z	0x26bbb	0x4a3b10	658	7	reshuffle (uses unreferenced slots)	n/a	unproven	-0x8->-0x4 -0xc->-0x28 -0x10->-0x1c -0x14->-0x18 -0x18->-0x14 -0x1c->-0x10 -0x28->-0x8
SOURCE/SPELLS	?DoLuck@combatManager@@QAEXHH@Z	0x28b69	0x4a5c10	486	5	multi-cycle 3+2	n/a	identifiers-differ	-0x4->-0xc -0x8->-0x14 -0xc->-0x10 -0x10->-0x4 -0x14->-0x8
SOURCE/SPELLS	?Resurrect@combatManager@@QAEXHHH@Z	0x29089	0x4a6120	1621	11	reshuffle (uses unreferenced slots)	n/a	identifiers-differ	-0x4->-0x38 -0x8->-0x3c -0xc->-0x1c -0x10->-0x8 -0x14->-0xc -0x1c->-0x20 -0x20->-0x14 -0x28->-0x30 -0x2c->-0x28 -0x30->-0x10 -0x38->-0x4
SOURCE/STRIP	?Update@bankBox@@QAEXH@Z	0x32b2d	0x409780	205	5	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x10->-0x14 -0x20->-0x24 -0x24->-0x28 -0x28->-0x2c -0x2c->-0x10
SOURCE/SWAPMGR	?Open@swapManager@@UAEHH@Z	0x54502	0x4bdb00	956	6	reshuffle (uses unreferenced slots)	n/a	unproven	-0x4->-0xc -0x14->-0x1c -0x18->-0x20 -0x1c->-0x24 -0x20->-0x4 -0x24->-0x8
SOURCE/SWAPMGR	?DrawSelector@swapManager@@QAEXXZ	0x549eb	0x4bdff0	504	8	multi-cycle 6+2	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x2c -0x8->-0x1c -0xc->-0x4 -0x10->-0x28 -0x1c->-0x8 -0x24->-0x10 -0x28->-0xc -0x2c->-0x24
SOURCE/SWAPMGR	?SwapArtifacts@swapManager@@QAEXXZ	0x55776	0x4bed90	597	6	reshuffle (uses unreferenced slots)	n/a	unproven	-0x10->-0x18 -0x20->-0x28 -0x24->-0x2c -0x28->-0x30 -0x2c->-0x14 -0x30->-0x10
SOURCE/SWAPMGR	?SwapMons@swapManager@@QAEXXZ	0x559cb	0x4beff0	375	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	reorder-reachable	-0x4->-0x10 -0x10->-0x4
SOURCE/SWAPMGR	?Update@swapManager@@QAEXXZ	0x55b42	0x4bf170	1147	5	reshuffle (uses unreferenced slots)	n/a	unproven	-0x4->-0x8 -0x14->-0x18 -0x18->-0x1c -0x1c->-0x20 -0x20->-0x4
SOURCE/SWAPMGR	?SplitMons@swapManager@@QAEXXZ	0x55fbd	0x4bf5f0	904	10	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0x8 -0x8->-0x10 -0xc->-0x34 -0x10->-0x18 -0x20->-0x28 -0x24->-0x2c -0x28->-0x30 -0x2c->-0xc -0x30->-0x4 -0x34->-0x14
SOURCE/TOWN	?GiveSpells@town@@QAEXPAVhero@@@Z	0x32cb9	0x469880	273	3	3-cycle	n/a	identifiers-differ	-0x4->-0x8 -0x8->-0xc -0xc->-0x4
SOURCE/TOWN	?Deallocate@town@@QAEXXZ	0x32f54	0x469b30	333	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0xc -0xc->-0x4
SOURCE/TOWNMGR	??0townObject@@QAE@HHPAD@Z	0x13900	0x4106a0	362	6	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x10->-0x24 -0x14->-0x4 -0x18->-0x8 -0x1c->-0xc -0x20->-0x28 -0x28->-0x14
SOURCE/TOWNMGR	?SetupTown@townManager@@QAEXXZ	0x1436f	0x411140	2394	5	reshuffle (uses unreferenced slots)	n/a	unproven	-0x8->-0xc -0x18->-0x1c -0x1c->-0x20 -0x20->-0x24 -0x24->-0x8
SOURCE/TOWNMGR	?SplitArmy@townManager@@QAEXXZ	0x1771d	0x414520	884	5	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	reorder-reachable	-0x8->-0xc -0x18->-0x1c -0x1c->-0x20 -0x20->-0x24 -0x24->-0x8
SOURCE/TOWNMGR	?BuildObj@townManager@@QAEXH@Z	0x18bd2	0x4158d0	1001	5	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x20 -0x8->-0x4 -0xc->-0x8 -0x10->-0xc -0x20->-0x1c
SOURCE/TOWNMGR	?SetupMage@townManager@@QAEXPAVheroWindow@@@Z	0x18fbb	0x415cc0	984	17	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0x1c -0x8->-0x20 -0xc->-0x4 -0x10->-0xc -0x14->-0x54 -0x18->-0x8 -0x1c->-0x30 -0x20->-0x50 -0x24->-0x34 -0x34->-0x44 -0x38->-0x48 -0x3c->-0x4c -0x40->-0x10 -0x44->-0x18 -0x4c->-0x14 -0x50->-0x2c -0x54->-0x28
SOURCE/TOWNMGR	?MageGuildHandler@@YIHAAUtag_message@@@Z	0x19393	0x4160a0	400	8	multi-cycle 5+3	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x18 -0x8->-0xc -0xc->-0x20 -0x10->-0x4 -0x14->-0x10 -0x18->-0x1c -0x1c->-0x14 -0x20->-0x8
SOURCE/TOWNMGR	?SplitArmyHandler@@YIHAAUtag_message@@@Z	0x19e8c	0x416bc0	808	4	4-cycle	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x14 -0x8->-0x4 -0x10->-0x8 -0x14->-0x10
SOURCE/VIEW	?ViewGeneral@combatManager@@QAEHHHH@Z	0xbd60	0x40faf0	1747	22	reshuffle (uses unreferenced slots)	n/a	unproven	-0x4->-0x10 -0x8->-0xc -0xc->-0x28 -0x10->-0x48 -0x14->-0x68 -0x1c->-0x4 -0x20->-0x8 -0x24->-0x2c -0x28->-0x30 -0x2c->-0x44 -0x30->-0x3c -0x34->-0x18 -0x38->-0x4c -0x48->-0x5c -0x4c->-0x60 -0x50->-0x64 -0x54->-0x34 -0x58->-0x14 -0x5c->-0x20 -0x60->-0x24 -0x64->-0x38 -0x68->-0x1c
SOURCE/VIEW	?HandleViewGeneral@@YIHAAUtag_message@@@Z	0xc433	0x4101d0	849	15	multi-cycle 13+2	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x14 -0x8->-0x10 -0xc->-0x38 -0x10->-0x3c -0x14->-0x4 -0x18->-0x8 -0x1c->-0x24 -0x20->-0x28 -0x24->-0x34 -0x28->-0xc -0x2c->-0x1c -0x30->-0x2c -0x34->-0x18 -0x38->-0x30 -0x3c->-0x20
SOURCE/VIEW	?ViewArmy@combatManager@@QAEXPAVarmy@@H@Z	0xc784	0x410530	357	8	multi-cycle 6+2	n/a	unproven	-0x4->-0x8 -0x8->-0x4 -0xc->-0x18 -0x10->-0x20 -0x14->-0xc -0x18->-0x10 -0x1c->-0x14 -0x20->-0x1c
SOURCE/Wsnetwin	?wsnet_init@@YIFXZ	0x68b0	0x45ef50	1461	3	3-cycle	n/a	unproven	-0x4->-0xc -0x8->-0x4 -0xc->-0x8
SOURCE/X_CAMPGN	?ShowInfo@ExpCampaign@@QAEXHH@Z	0xbc00e	0x470df0	831	3	3-cycle	n/a	unproven	-0x8->-0xc -0xc->-0x2c -0x2c->-0x8
SOURCE/comwin	?com_rcv@@YIFFGPAX@Z	0x8af7a	0x4bd0c0	221	5	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x18 -0xc->-0x1c -0x14->-0x10 -0x18->-0x14 -0x1c->-0x4
SOURCE/comwin	?com_snd@@YIFFGGPAXH@Z	0x8b057	0x4bd1a0	325	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x8 -0x8->-0x4
SOURCE/comwin	?comm_wrt_task@@YIXXZ	0x8b21d	0x4bd380	232	5	5-cycle	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x8 -0x8->-0x14 -0xc->-0x10 -0x10->-0x4 -0x14->-0xc
SOURCE/dpnetwin	?dpSendMessage@@YIXHEGPAX@Z	0x1f3a4	0x404c60	238	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x8 -0x8->-0x4
SOURCE/kbwin	_WinMain@16	0x1bce0	0x484ae0	326	4	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x14->-0x18 -0x18->-0x1c -0x1c->-0x20 -0x20->-0x4
SOURCE/kbwin	?AppAbout@@YGHPAXIIJ@Z	0x1c70e	0x485530	144	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0xc -0xc->-0x4
SOURCE/kbwin	?SetMenuStatus@@YIXH@Z	0x1cce1	0x485b30	348	4	4-cycle	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0x10 -0x8->-0x4 -0xc->-0x8 -0x10->-0xc
SOURCE/kbwin	?SetMenus@@YIXPAXH@Z	0x1ceb8	0x485d10	345	4	4-cycle	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0xc -0xc->-0x18 -0x14->-0x4 -0x18->-0x14
SOURCE/netwin	@nb_init@8	0xa6c88	0x472b20	580	8	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x10->-0x18 -0x34->-0x3c -0x36->-0x3e -0x38->-0x40 -0x3c->-0x44 -0x40->-0x48 -0x44->-0x4c -0x4c->-0x8
SOURCE/netwin	@nb_term@0	0xa6ecc	0x472d70	519	6	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x10->-0x18 -0x26->-0x2e -0x3c->-0x44 -0x40->-0x48 -0x44->-0x8 -0x48->-0x4
SOURCE/netwin	?nb_thr_ctl@@YIXXZ	0xa7758	0x473630	622	5	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x44->-0x10 -0x48->-0xc -0x4c->-0x4 -0x50->-0x8 -0x54->-0x14
SOURCE/wingraph	?DDAppPaint@@YIHPAX0@Z	0x35601	0x49b110	1328	10	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x2c->-0x3c -0x30->-0x40 -0x38->-0x48 -0x40->-0x50 -0x44->-0x54 -0x48->-0x58 -0x4c->-0x10 -0x50->-0x8 -0x54->-0x4 -0x58->-0xc
SOURCE/wingraph	?DDInitializePalette@@YIXXZ	0x35b31	0x49b640	316	3	3-cycle	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0xc -0x8->-0x4 -0xc->-0x8
SOURCE/wingraph	?DDCreateSurface@@YIPAUIDirectDrawSurface@@KKH@Z	0x35d1c	0x49b830	307	8	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x7c -0x10->-0x78 -0x14->-0x4 -0x58->-0x48 -0x70->-0x60 -0x74->-0x64 -0x78->-0x68 -0x7c->-0x6c
SOURCE/wingraph	?DDSetFullScreenStatus@@YIXH@Z	0x366b0	0x49c1e0	773	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	unproven	-0x10->-0x14 -0x14->-0x10
SOURCE/wingraph	?WGUpdatePalette@@YIXPAC@Z	0x36b8f	0x49c6e0	487	3	3-cycle	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0xc -0x8->-0x4 -0xc->-0x8
SOURCE/wingraph	?WGInitializePalette@@YIXXZ	0x36d76	0x49c8d0	469	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x8 -0x8->-0x4
SOURCE/wingraph	?SetGraphicsType@@YIHH@Z	0x37595	0x49d160	538	3	3-cycle	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0x18 -0x14->-0x4 -0x18->-0x14
SOURCE/x_arena	?ArenaWindowHandler@@YIHAAUtag_message@@@Z	0xc03dc	0x463aa0	607	2	swap (2-cycle)	n/a	unproven	-0x24->-0x28 -0x28->-0x24
SOURCE/x_cdtest	?CDTest_VerifyTrack@@YIHH@Z	0x4a061	0x4aa210	143	2	swap (2-cycle)	n/a	unproven	-0x4->-0x8 -0x8->-0x4
SOURCE/x_cdtest	?CDTest_GenerateTable@@YIHPAD@Z	0x4a0f0	0x4aa2a0	718	6	reshuffle (uses unreferenced slots)	n/a	unproven	-0x64->-0x70 -0x68->-0x74 -0x6c->-0x78 -0x70->-0x8 -0x74->-0xc -0x78->-0x4
