unit	name	pol_rva	gold_va	size	moved	shape	witness	verdict	remap
SOURCE/GAME	?NextHero@playerData@@QAEHH@Z	0x70d1a	0x418ce0	301	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0x8 -0x8->-0x4
SOURCE/GAME	?GetNumObelisks@@YIHH@Z	0x70eac	0x418e80	100	2	swap (2-cycle)	n/a	identifiers-differ	-0x4->-0x8 -0x8->-0x4
SOURCE/GAME	?NumOfGivenArtifact@playerData@@QAEHH@Z	0x70fda	0x418fc0	151	2	swap (2-cycle)	n/a	reorder-reachable	-0x8->-0xc -0xc->-0x8
SOURCE/GAME	?MineTypesOwned@game@@QAEHHH@Z	0x71071	0x419060	130	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0x8 -0x8->-0x4
SOURCE/GAME	?ComputeUALoc@@YIXH@Z	0x710f3	0x4190f0	1037	3	3-cycle	n/a	unproven	-0x10->-0x14 -0x14->-0x18 -0x18->-0x10
SOURCE/GAME	?IsMobile@game@@QAEHH@Z	0x717ac	0x419790	181	2	swap (2-cycle)	n/a	unproven	-0x4->-0x8 -0x8->-0x4
SOURCE/GAME	?CreateBoat@game@@QAEHHHH@Z	0x7187f	0x419870	286	2	swap (2-cycle)	n/a	reorder-reachable	-0x8->-0xc -0xc->-0x8
SOURCE/GAME	?GetNewHeroId@game@@QAEHHHH@Z	0x71a6d	0x419a70	531	3	3-cycle	n/a	identifiers-differ	-0x4->-0xc -0xc->-0x10 -0x10->-0x4
SOURCE/GAME	?GenerateStandardFileName@@YIXPAD0@Z	0x71d89	0x419db0	302	4	4-cycle	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0xc -0x8->-0x14 -0xc->-0x8 -0x14->-0x4
SOURCE/GAME	?RandomizeBarrier@game@@QAEXPAVmapCell@@@Z	0x78aea	0x420a10	100	2	swap (2-cycle)	n/a	reorder-reachable	-0x4->-0xc -0xc->-0x4
SOURCE/GAME	?LoadMap@game@@QAEHPAD@Z	0x78b72	0x420ab0	1144	5	reshuffle (uses unreferenced slots)	n/a	unproven	-0x8->-0x20 -0x10->-0x8 -0x14->-0xc -0x1c->-0x10 -0x20->-0x14
SOURCE/GAME	?ClaimTown@game@@QAEXHHH@Z	0x78fea	0x420f30	938	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0xc -0xc->-0x4
SOURCE/GAME	?ComputeDailyGold@game@@QAEHH@Z	0x7c32f	0x4243f0	1074	3	3-cycle	n/a	identifiers-differ	-0x4->-0xc -0x8->-0x4 -0xc->-0x8
SOURCE/GAME	?PerDay@game@@QAEXXZ	0x7c761	0x424830	2474	7	reshuffle (uses unreferenced slots)	n/a	reorder-reachable	-0x4->-0x8 -0x8->-0xc -0xc->-0x10 -0x1c->-0x20 -0x20->-0x1c -0x24->-0x28 -0x28->-0x24
SOURCE/GAME	?PerMonth@game@@QAEXXZ	0x7ec44	0x426d20	885	3	3-cycle	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0x14 -0x14->-0x18 -0x18->-0x4
SOURCE/GAME	?RandomizeTown@game@@QAEXHHH@Z	0x7f42f	0x427520	450	4	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x14 -0x8->-0x4 -0xc->-0x18 -0x18->-0x8
SOURCE/GAME	?InitRandomArtifacts@game@@QAEXXZ	0x7fc0a	0x427d10	198	1	reshuffle (uses unreferenced slots)	n/a	unproven	-0xc->-0x8
SOURCE/GAME	?GiveArmy@game@@QAEXPAVarmyGroup@@HHH@Z	0x80e6c	0x428fe0	252	1	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	reorder-reachable	-0x8->-0x4
SOURCE/GAME	?SetupAdjacentMons@game@@QAEXXZ	0x8111f	0x4292b0	241	4	multi-cycle 2+2	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0x10 -0x8->-0x14 -0x10->-0x4 -0x14->-0x8
SOURCE/GAME	?ProcessMapExtra@game@@QAEXXZ	0x819b2	0x429b90	661	4	4-cycle	n/a	unproven	-0xc->-0x14 -0x10->-0xc -0x14->-0x18 -0x18->-0x10
SOURCE/GAME	?ProcessOnMapHeroes@game@@QAEXXZ	0x82547	0x42a730	1908	13	multi-cycle 5+2+2+2+2	n/a	unproven	-0x8->-0x10 -0xc->-0x4c -0x10->-0x8 -0x4c->-0xc -0x50->-0x5c -0x54->-0x64 -0x58->-0x68 -0x5c->-0x50 -0x60->-0x54 -0x64->-0x58 -0x68->-0x60 -0x74->-0x78 -0x78->-0x74
SOURCE/GAME	?CheckHeroConsistency@game@@QAEXXZ	0x82cbb	0x42aeb0	1374	4	4-cycle	n/a	identifiers-differ	-0x8->-0x1c -0xc->-0x8 -0x10->-0xc -0x1c->-0x10
SOURCE/GAME	?CreateJoinFile@@YIXPAD00@Z	0x85107	0x42d5b0	974	11	multi-cycle 6+3+2	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x28 -0x8->-0x14 -0xc->-0x4 -0x10->-0x2c -0x14->-0x24 -0x18->-0x10 -0x1c->-0x20 -0x20->-0x1c -0x24->-0x18 -0x28->-0xc -0x2c->-0x8
SOURCE/GAME	?GetMapEvent@@YIPAUEventExtra@@HH@Z	0x85d2e	0x42e250	217	2	swap (2-cycle)	n/a	unproven	-0x4->-0x8 -0x8->-0x4
SOURCE/GAME	?CalcFileCRC@@YIHPAD@Z	0x86296	0x42e7d0	171	4	4-cycle	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0xc -0x8->-0x4 -0xc->-0x10 -0x10->-0x8
SOURCE/GAME	?CompressTest2@@YIXXZ	0x86341	0x42e880	339	9	multi-cycle 6+3	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0x18 -0xc->-0x4 -0x10->-0x28 -0x14->-0x10 -0x18->-0xc -0x1c->-0x14 -0x20->-0x1c -0x24->-0x20 -0x28->-0x24
SOURCE/GAME	?CompressTest@@YIXXZ	0x86494	0x42e9e0	446	10	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x34 -0xc->-0x4 -0x10->-0x48 -0x14->-0x10 -0x18->-0xc -0x1c->-0x38 -0x20->-0x3c -0x24->-0x40 -0x28->-0x44 -0x48->-0x30
SOURCE/GAME	?CompressTest3@@YIXXZ	0x86652	0x42eba0	83	2	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x28->-0x2c -0x2c->-0x4
SOURCE/HERO	?GetNumSpells@hero@@QAEHH@Z	0x6c931	0x494fd0	208	3	3-cycle	n/a	unproven	-0x4->-0xc -0x8->-0x4 -0xc->-0x8
SOURCE/HERO	?HeroScreenUpdate@hero@@QAEXXZ	0x6cb33	0x4951f0	168	5	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x8 -0x14->-0x18 -0x18->-0x1c -0x1c->-0x20 -0x20->-0x4
SOURCE/HERO	?UpdateArmies@hero@@QAEXXZ	0x6cbdb	0x4952a0	466	5	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x8 -0x14->-0x18 -0x18->-0x1c -0x1c->-0x20 -0x20->-0x4
SOURCE/HERO	?Deallocate@hero@@QAEXH@Z	0x6cee8	0x4955d0	1415	4	4-cycle	n/a	identifiers-differ	-0x4->-0x10 -0x8->-0xc -0xc->-0x4 -0x10->-0x8
SOURCE/HERO	?GetExperience@hero@@QAEHH@Z	0x6d46f	0x495b60	158	3	3-cycle	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0x8 -0x8->-0xc -0xc->-0x4
SOURCE/HERO	?GetLevel@hero@@QAEHH@Z	0x6d50d	0x495c00	192	3	3-cycle	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0x8 -0x8->-0xc -0xc->-0x4
SOURCE/HERO	?SetupHeroView@@YIXXZ	0x6f56c	0x497b90	2501	11	reshuffle (uses unreferenced slots)	n/a	unproven	-0x20->-0x38 -0x30->-0x48 -0x34->-0x4c -0x38->-0x50 -0x3c->-0x20 -0x40->-0x54 -0x44->-0x28 -0x48->-0x2c -0x4c->-0x30 -0x50->-0x34 -0x54->-0x24
SOURCE/HERO	?DoHeroSplit@@YIXHH@Z	0x6ff31	0x498560	688	5	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x8->-0xc -0x18->-0x1c -0x1c->-0x20 -0x20->-0x24 -0x24->-0x8
SOURCE/HERO	?GetSSLevel@hero@@QAECH@Z	0x705c2	0x498c20	195	2	swap (2-cycle)	n/a	reorder-reachable	-0x4->-0x8 -0x8->-0x4
SOURCE/HERO	?DoSSLevelDialog@hero@@QAEXHH@Z	0x70685	0x498cf0	244	2	swap (2-cycle)	n/a	identifiers-differ	-0x4->-0x8 -0x8->-0x4
SOURCE/KB	?RecruitHeroHandler@@YIHAAUtag_message@@@Z	0x993e0	0x431d10	425	4	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0xc -0x8->-0x4 -0x10->-0x8 -0x18->-0x10
SOURCE/KB	?CanBuild@@YIHPAVtown@@H@Z	0x99a6c	0x4323c0	693	3	reshuffle (uses unreferenced slots)	n/a	identifiers-differ	-0x1->-0x5 -0x4->-0x8 -0x8->-0x4
SOURCE/KB	?CanBuy@@YIHPAVtown@@H@Z	0x99d21	0x432680	154	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x8 -0x8->-0x4
SOURCE/KB	?QuickViewWait@@YIXXZ	0x9c07c	0x434ac0	149	2	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x1c->-0x20 -0x20->-0x4
SOURCE/KB	?FileError@@YIXPAD@Z	0x9e306	0x436df0	162	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	unproven	-0x1f4->-0x3ec -0x3ec->-0x1f4
SOURCE/KB	?SmackFade@@YIXPAE0@Z	0x9e3a8	0x436ea0	597	9	9-cycle	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x28 -0x8->-0x30 -0x14->-0x2c -0x18->-0x8 -0x20->-0x14 -0x24->-0x18 -0x28->-0x20 -0x2c->-0x24 -0x30->-0x4
SOURCE/KB	?CongratsWait@@YIXXZ	0x9e900	0x437440	153	3	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x8 -0x20->-0x24 -0x24->-0x4
SOURCE/KB	?SetupDynamicWindow@@YIXHHHHHHHPAH00000PAPAVheroWindow@@H@Z	0x9fa70	0x438610	1724	24	24-cycle	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x8 -0x8->-0x1c -0xc->-0x28 -0x10->-0x2c -0x14->-0x18 -0x18->-0x34 -0x1c->-0x60 -0x20->-0xc -0x24->-0x54 -0x28->-0x4 -0x2c->-0x24 -0x30->-0x14 -0x34->-0x40 -0x38->-0x5c -0x3c->-0x44 -0x40->-0x38 -0x44->-0x48 -0x48->-0x4c -0x4c->-0x50 -0x50->-0x10 -0x54->-0x30 -0x58->-0x3c -0x5c->-0x20 -0x60->-0x58
SOURCE/KB	?TestDynamicWindow@@YIXHH@Z	0xa012c	0x438cd0	264	7	7-cycle	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x18 -0x8->-0x20 -0xc->-0x4 -0x10->-0xc -0x18->-0x1c -0x1c->-0x8 -0x20->-0x10
SOURCE/KB	?SetWinText@@YIXPAVheroWindow@@H@Z	0xa0c76	0x439830	159	5	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x8->-0xc -0x18->-0x1c -0x1c->-0x20 -0x20->-0x24 -0x24->-0x8
SOURCE/Modem	?Connect@@YIXXZ	0xcfec	0x4645a0	443	2	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x14->-0x18 -0x1c->-0x4
SOURCE/Modem	?WriteModemPacket@@YIXPADH@Z	0xd4df	0x464ab0	255	1	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x20
SOURCE/Newgame	?GetMap@game@@QAEXXZ	0xb6f40	0x45a7a0	469	3	reshuffle (uses unreferenced slots)	n/a	unproven	-0x8->-0x28 -0x18->-0x14 -0x44->-0x24
SOURCE/Newgame	?InitNewGame@game@@QAEXPAUSMapHeader@@@Z	0xb718c	0x45aa00	1169	5	5-cycle	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x14 -0x8->-0x10 -0x10->-0x18 -0x14->-0x8 -0x18->-0x4
SOURCE/Newgame	?NewGame@game@@QAEHXZ	0xb769e	0x45af30	2762	9	reshuffle (uses unreferenced slots)	n/a	unproven	-0x4->-0x8 -0x8->-0xc -0xc->-0x14 -0x14->-0x4 -0x20->-0x24 -0x24->-0x20 -0xb4->-0x1b8 -0x1b4->-0x140 -0x1b8->-0x144
SOURCE/Newgame	?InitNewGameWindow@game@@QAEXXZ	0xb8259	0x45bb00	1661	9	multi-cycle 4+3+2	n/a	unproven	-0x4->-0x14 -0x10->-0x18 -0x14->-0x1c -0x18->-0x10 -0x1c->-0x20 -0x20->-0x4 -0x24->-0x2c -0x28->-0x24 -0x2c->-0x28
SOURCE/Newgame	?UpdateNewGameWindow@game@@QAEXXZ	0xb88d6	0x45c180	1436	6	reshuffle (uses unreferenced slots)	n/a	unproven	-0x4->-0x10 -0x14->-0x20 -0x18->-0x24 -0x1c->-0x28 -0x20->-0x4 -0x24->-0xc
