dll	symbol	ordinal_or_hint	noname	lookup_name
USER32.dll	_SetCapture@4	464	0	SetCapture
USER32.dll	_ReleaseCapture@0	440	0	ReleaseCapture
USER32.dll	_LoadCursorA@8	359	0	LoadCursorA
USER32.dll	_SetWindowLongA@12	516	0	SetWindowLongA
USER32.dll	_ShowWindow@8	534	0	ShowWindow
USER32.dll	_PostMessageA@16	419	0	PostMessageA
USER32.dll	_LoadIconA@8	363	0	LoadIconA
USER32.dll	_CreateWindowExA@48	82	0	CreateWindowExA
USER32.dll	_AdjustWindowRect@12	1	0	AdjustWindowRect
USER32.dll	_RegisterClassA@4	427	0	RegisterClassA
USER32.dll	_DefWindowProcA@16	125	0	DefWindowProcA
USER32.dll	_PostQuitMessage@4	421	0	PostQuitMessage
USER32.dll	_DestroyWindow@4	134	0	DestroyWindow
USER32.dll	_GetWindowLongA@8	304	0	GetWindowLongA
USER32.dll	_DestroyMenu@4	133	0	DestroyMenu
USER32.dll	_CheckMenuItem@12	45	0	CheckMenuItem
USER32.dll	_SetCursor@4	472	0	SetCursor
USER32.dll	_wsprintfA	585	0	wsprintfA
USER32.dll	_InvalidateRect@12	328	0	InvalidateRect
USER32.dll	_GetDC@4	230	0	GetDC
USER32.dll	_ReleaseDC@8	441	0	ReleaseDC
USER32.dll	_BeginPaint@8	9	0	BeginPaint
USER32.dll	_GetClientRect@8	220	0	GetClientRect
USER32.dll	_ClientToScreen@8	51	0	ClientToScreen
USER32.dll	_OffsetRect@12	407	0	OffsetRect
USER32.dll	_EndPaint@8	175	0	EndPaint
USER32.dll	_MessageBeep@4	391	0	MessageBeep
USER32.dll	_GetMenuItemCount@4	261	0	GetMenuItemCount
USER32.dll	_GetMenuItemID@8	262	0	GetMenuItemID
USER32.dll	_GetSubMenu@8	287	0	GetSubMenu
USER32.dll	_SetMenu@8	487	0	SetMenu
USER32.dll	_DrawMenuBar@4	160	0	DrawMenuBar
USER32.dll	_EnableMenuItem@12	169	0	EnableMenuItem
USER32.dll	_DialogBoxParamA@20	138	0	DialogBoxParamA
USER32.dll	_WinHelpA@16	579	0	WinHelpA
USER32.dll	_GetAsyncKeyState@4	207	0	GetAsyncKeyState
USER32.dll	_GetCursorPos@4	229	0	GetCursorPos
USER32.dll	_ScreenToClient@8	447	0	ScreenToClient
USER32.dll	_CreateIconIndirect@4	77	0	CreateIconIndirect
USER32.dll	_DestroyIcon@4	132	0	DestroyIcon
USER32.dll	_ShowCursor@4	530	0	ShowCursor
USER32.dll	_MoveWindow@24	400	0	MoveWindow
USER32.dll	_EndDialog@8	173	0	EndDialog
USER32.dll	_SetTimer@16	510	0	SetTimer
USER32.dll	_GetWindowRect@8	307	0	GetWindowRect
GDI32.dll	_GdiSetBatchLimit@4	152	0	GdiSetBatchLimit
GDI32.dll	_RealizePalette@4	297	0	RealizePalette
GDI32.dll	_SelectPalette@12	317	0	SelectPalette
GDI32.dll	_PatBlt@24	277	0	PatBlt
GDI32.dll	_SelectObject@8	316	0	SelectObject
GDI32.dll	_CreatePalette@4	53	0	CreatePalette
GDI32.dll	_DeleteObject@4	70	0	DeleteObject
GDI32.dll	_AnimatePalette@16	6	0	AnimatePalette
GDI32.dll	_DeleteDC@4	67	0	DeleteDC
GDI32.dll	_GetDeviceCaps@8	188	0	GetDeviceCaps
GDI32.dll	_GetSystemPaletteEntries@16	240	0	GetSystemPaletteEntries
GDI32.dll	_CreateBitmapIndirect@4	26	0	CreateBitmapIndirect
WSOCK32.dll	_inet_addr@4	10	1
WSOCK32.dll	_WSAGetLastError@0	111	1
WSOCK32.dll	_gethostname@8	57	1
WSOCK32.dll	_gethostbyname@4	52	1
WSOCK32.dll	_bind@12	2	1
WSOCK32.dll	_htonl@4	8	1
WSOCK32.dll	_ioctlsocket@12	12	1
WSOCK32.dll	_socket@12	23	1
WSOCK32.dll	_WSAStartup@8	115	1
WSOCK32.dll	_htons@4	9	1
WSOCK32.dll	_closesocket@4	3	1
WSOCK32.dll	_sendto@24	20	1
WSOCK32.dll	_WSACleanup@0	116	1
WSOCK32.dll	_recvfrom@24	17	1
WSOCK32.dll	_inet_ntoa@4	11	1
NETAPI32.dll	_Netbios@4	180	0	Netbios
WINMM.dll	_auxSetVolume@8	20	0	auxSetVolume
WINMM.dll	_waveOutGetDevCapsA@12	169	0	waveOutGetDevCapsA
WINMM.dll	_waveOutGetNumDevs@0	174	0	waveOutGetNumDevs
WINMM.dll	_mciSendStringA@16	49	0	mciSendStringA
WINMM.dll	_mciGetErrorStringA@12	43	0	mciGetErrorStringA
