source_sha256	shape	fuzzy_percent	base_size	retail_size	frame	base_relocs	retail_relocs	external_targets	emitted_text_sha256	disposition
b42c0b8e368561082811dbcc7b170ab975483447470c577173ad6a9132f26124	canonical_4498053	74.453300	0x4c7	0x4ed	none	79	83	no_base_only	d5e105683f769459d8f3399fdac4f4a15faa54516b74070090d98ed7c34bb4cb	RETAINED
c5f2e26f87f7121a965a96872252ba1e72ccdb50ac429aff92ca0ed04e474eb6	entry_then_source_publications_before_X_Y	73.304950	0x4c6	0x4ed	none	79	83	no_base_only	-	REJECT_SCORE_SIZE
7d2a7285e4c65136641d260a9b08a363ee9eab3bb21e4711ee6c2fe632b31cae	entry_then_source_publications_after_X_Y	73.934070	0x4c6	0x4ed	none	79	83	no_base_only	-	REJECT_SCORE_SIZE
6c130529f03890ffd2609d2f6dc7a73ec978bbe2b7ad243b8cbe8d130a9a000e	local_source_snapshot_then_publications_before_X_Y	72.824170	0x4c5	0x4ed	none	79	83	no_base_only	-	REJECT_SCORE_SIZE
4f2025ee1dc2a3b105cc164018c9d4030d668c31849df172e87f74c8cd5aef23	entry_Y_field_snapshot	74.453300	0x4c7	0x4ed	none	79	83	no_base_only	d5e105683f769459d8f3399fdac4f4a15faa54516b74070090d98ed7c34bb4cb	REJECT_BYTE_IDENTICAL
