id	path	va	casts	address	outside	reviewed_body_sha256	evidence	baseline_body_sha256
src/BASE/FONT.cpp:font::ExtractLine(char * text,char * line,i32 * position,i32 maxWidth,i32 * lineWidth,u8 lastLine)#1	src/BASE/FONT.cpp	0x004c3b20			pending			5688213c071fa8d05c57a14b426587a1be50ade187d1ca43e50377420252502b
src/BASE/Icon2b.cpp:IconToBitmap(class icon * srcIcon,class bitmap * dest,i32 x,i32 y,i32 frame,IconDrawClipMode clip,i32 clipX,i32 clipY,i32 clipW,i32 clipH,i32 color)#1	src/BASE/Icon2b.cpp	0x004c14c0	pending	pending	pending			ecc5be0a1b0e7a23046bcb73d595ed0b452e08f36a4074473ce5f8192aed7e64
src/BASE/Icond2b.cpp:DimIconToBitmap(class icon * srcIcon,class bitmap * dest,i32 x,i32 y,i32 frame,i32 color,IconDrawClipMode clip,i32 clipX,i32 clipY,i32 clipW,i32 clipH)#1	src/BASE/Icond2b.cpp	0x004c6af0			pending			de95b2422b47d63a79afceeb396c284ad78ea737d98291b12649a122f6be0e03
src/BASE/Icondf2b.cpp:FlipDimIconToBitmap(class icon * srcIcon,class bitmap * dest,i32 x,i32 y,i32 frame,i32 color,IconDrawClipMode clip,i32 clipX,i32 clipY,i32 clipW,i32 clipH)#1	src/BASE/Icondf2b.cpp	0x004d64b0			pending			59b3d9d08088523a00dc69142d379222ed92eb63cf0cf6e497b3b3dcdd557407
src/BASE/Iconf2b.cpp:FlipIconToBitmap(class icon * srcIcon,class bitmap * dest,i32 x,i32 y,i32 frame,IconDrawClipMode clip,i32 clipX,i32 clipY,i32 clipW,i32 clipH,i32 color)#1	src/BASE/Iconf2b.cpp	0x004c1c60	pending	pending	pending			4b71569ac7773da93fb008494e2922bbdd8f205cbadbc3641e2a8590154f183a
src/BASE/Iconm2b.cpp:MonoIconToBitmap(class icon * srcIcon,class bitmap * dest,i32 x,i32 y,i32 frame,i32 color,IconDrawClipMode clip,i32 clipX,i32 clipY,i32 clipW,i32 clipH)#1	src/BASE/Iconm2b.cpp	0x004c67b0			pending			269b6bf35b30608e6633b5cc33bbafd272bd608136a5f1134b6c865058581670
src/BASE/Iconmf2b.cpp:FlipMonoIconToBitmap(class icon * srcIcon,class bitmap * dest,i32 x,i32 y,i32 frame,i32 color,IconDrawClipMode clip,i32 clipX,i32 clipY,i32 clipW,i32 clipH)#1	src/BASE/Iconmf2b.cpp	0x004d6130			pending			0f7822b222d79b9c93c9ec162a2a6268dad96218bd50b43262d9d2ea4095c40d
src/BASE/Misc.cpp:ReadPrefsFromRegistry(void)#1	src/BASE/Misc.cpp	0x004be410			pending			63b61606e8ab5255d0d934f72908beb37212cdcd5897838976481cd3068f1944
src/BASE/Misc.cpp:WritePrefsToRegistry(void)#1	src/BASE/Misc.cpp	0x004bedd0			pending			e4da9242ea0817c5241e0f7c10a08aa68b2b0ecf37bdea2e137c1addd1ec4c63
src/BASE/Ripple.cpp:DoRipple(bitmap * source,bitmap * destination,i32 height,i32 strength)#1	src/BASE/Ripple.cpp	0x004cb6b0			pending			5bb322a9b1eae44e239fdebac3bcd56aea636fd5786db65e108cda8280ae4aa6
src/BASE/TILE.asm:TileToBitmap#1	src/BASE/TILE.asm				pending			d0a6774b276075b8348d5c711b690e181f9df430f19cf30ada2a525797b5c014
src/BASE/bmap2.cpp:BlitBitmap(class bitmap * src,i32 sx,i32 sy,i32 w,i32 h,class bitmap * dst,i32 dx,i32 dy)#1	src/BASE/bmap2.cpp	0x004c65d0			pending			b0c37ea11f1857bfa688f5735f23f8d9ad471017c2fd6ad7127ec0ecdaf7d975
src/BASE/bmap2.cpp:DimBitmapArea(class bitmap * bmp,i32 x,i32 y,i32 w,i32 h,i32 level)#1	src/BASE/bmap2.cpp	0x004c6690			pending			80c287e985b026f0d634ecf54161caaad61c24bf797fbfd0da95003f7db4ecf3
src/BASE/bmap2.cpp:FillBitmapArea(class bitmap * bmp,i32 x,i32 y,i32 w,i32 h,i32 color)#1	src/BASE/bmap2.cpp	0x004c6450			pending			afc39853bf89933d3ae92de6f3c6b5547ee26200cb0817160f1042f25df5aa1e
src/BASE/icon2bc.cpp:IconToBitmapColorTable(class icon * srcIcon,class bitmap * dest,i32 x,i32 y,i32 frame,IconDrawClipMode clip,i32 clipX,i32 clipY,i32 clipW,i32 clipH,i32 color,u8 * colorTable,i32 dimGate)#1	src/BASE/icon2bc.cpp	0x004c0ca0	pending	pending	pending			00997f592ffa836a9bb93cd3ec83cbd35e8be58f93fd445ff5e97da6000d35eb
src/BASE/icon2bs.cpp:IconToBitmapScale(class icon * srcIcon,class bitmap * dest,i32 destX,i32 destY,i32 frame,IconDrawClipMode clip,i32 clipX,i32 clipY,i32 clipW,i32 clipH,i32 scale)#1	src/BASE/icon2bs.cpp	0x004cc4e0			pending			1bf3b5c0367312a168cbd911f2677eb5396724e47d12ebae016bb6949ea844a9
src/BASE/icon2by.cpp:IconToBitmapYModify(class icon * srcIcon,class bitmap * dest,i32 x,i32 y,i32 frame,IconDrawClipMode clip,i32 clipX,i32 clipY,i32 clipW,i32 clipH,i32 color,i8 * shear)#1	src/BASE/icon2by.cpp	0x004d5a50	pending	pending	pending			d79415b20935aff32c480f9925a80328d898e3bc1f6bd079e82c3004e6b306ed
